genotipo;n_dobras;amostras;accuracy_media;accuracy_desvio;precision_media;precision_desvio;recall_media;recall_desvio;f1_score_media;f1_score_desvio;kappa_media;kappa_desvio;auc_roc_media;auc_roc_desvio
BR16;5;448;0.8932496440282192;0.02015040014807606;0.881786704344249;0.034229139133537055;0.9055419757547417;0.032726534892912634;0.8931122159127364;0.026383031387274755;0.785293447681112;0.03999490818349783;0.9583686387386159;0.003890440494097818
CD202;5;452;0.949632405768482;0.019252306822408725;0.9579282119351806;0.031122953877112836;0.9404573687182383;0.047501820646742327;0.9481166969711861;0.020862529883510752;0.8986421207343568;0.03823776979397973;0.9882048513385288;0.013576999854096898
EMB48;5;448;0.8501001048981827;0.019597722372755578;0.8287454900337139;0.07880500812749339;0.8670954045954048;0.04425760465868188;0.8454589601960529;0.04509951152441223;0.6903692826659086;0.04349395918521321;0.9377786765180833;0.011614789208675034
