bloco;genotipo;condicao;CHL TOTAL (27/02);predito_cv;residuo_cv
B1;BR16;IRRIG;43.083333333333336;42.06764499701546;1.0156883363178792
B2;BR16;IRRIG;40.949999999999996;43.36189807649062;-2.4118980764906226
B3;BR16;IRRIG;44.6;39.8914003799802;4.708599620019804
B4;BR16;IRRIG;43.98;42.15801432237193;1.8219856776280636
B1;BR16;NIRRIG;43.81666666666667;42.92192884035061;0.8947378263160601
B2;BR16;NIRRIG;42.84;43.39205330785403;-0.552053307854024
B3;BR16;NIRRIG;40.78333333333334;40.55286205914655;0.23047127418679025
B4;BR16;NIRRIG;42.06666666666666;40.25778157528851;1.8088850913781513
B1;EMB48;IRRIG;40.92;42.189396235196355;-1.2693962351963535
B2;EMB48;IRRIG;37.68333333333333;41.332430862378054;-3.649097529044724
B3;EMB48;IRRIG;38.85;39.21534147251019;-0.3653414725101882
B4;EMB48;IRRIG;39.839999999999996;38.235407642255815;1.6045923577441812
B1;EMB48;NIRRIG;40.01666666666667;37.860516542181614;2.156150124485059
B2;EMB48;NIRRIG;40.7;41.394403653013164;-0.6944036530131612
B3;EMB48;NIRRIG;38.483333333333334;38.83214631650825;-0.34881298317491627
B4;EMB48;NIRRIG;39.583333333333336;39.01292397351418;0.5704093598191591
B1;CD202;IRRIG;38.68333333333333;41.67444182391251;-2.9911084905791796
B2;CD202;IRRIG;40.86666666666667;41.87077240009303;-1.004105733426364
B3;CD202;IRRIG;36.800000000000004;35.84744363925602;0.9525563607439835
B4;CD202;IRRIG;38.61666666666666;40.215840279085754;-1.5991736124190936
B1;CD202;NIRRIG;37.61666666666667;40.81591503112791;-3.1992483644612406
B2;CD202;NIRRIG;38.46666666666667;40.662453166153306;-2.195786499486637
B3;CD202;NIRRIG;38.5;37.85259173964686;0.6474082603531386
B4;CD202;NIRRIG;39.18333333333333;38.548381850483096;0.6349514828502336
