data_clorofila_total;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_clorofila_total
23/02;D02M;995;1.255555873033522;1.1136367861041714;0.7284192387895675
23/02;D02M;992;1.2544346919053484;1.112865352867841;0.7184170641673823
23/02;D02M;975;1.251122954305805;1.1110230005753017;0.714938046907492
23/02;D02M;965;1.2511571646875994;1.1107950389305168;0.7201565727973276
23/02;D02M;961;1.251005098670147;1.110560869653386;0.7236355900572181
23/02;D02M;1275;1.245174571176077;1.1092400487706575;0.7171124326949234
23/02;D02M;1285;1.2444968596586528;1.1091119220869117;0.7118939068050878
23/02;D02M;1265;1.2449824684525272;1.1089825095423411;0.7171124326949234
23/02;D02M;1295;1.243612032626196;1.1089558826971069;0.7101543981751425
23/02;D02M;1255;1.2439998111953867;1.1083576139351643;0.7171124326949234
23/02;D02M;1310;1.2405123154924884;1.108105542040944;0.7153729240649782
23/02;D02M;1322;1.2371201316892984;1.1078090649683616;0.7353772733093484
23/02;D02M;1245;1.2426897072846246;1.107526131878512;0.7171124326949234
23/02;D02M;1334;1.2317786997261564;1.1068846187808263;0.7427701849866157
23/02;D02M;1335;1.231227014238378;1.1066909164865126;0.7410306763566704
23/02;D02M;945;1.248927552289645;1.1066843843362486;0.720591449954814
23/02;D02M;1235;1.2412348462337752;1.1066478062238336;0.7171124326949234
23/02;D02M;1225;1.2401975216951209;1.1060516183925024;0.7171124326949234
23/02;D02M;940;1.2481527527990564;1.1055559646160813;0.720591449954814
23/02;D02M;1215;1.2386414969115616;1.1050202253467556;0.7171124326949234
23/02;D02M;1195;1.2366850701513303;1.1035978332280694;0.7171124326949234
23/02;D02M;1205;1.2366770960865927;1.1035889691539766;0.7171124326949234
23/02;D02M;925;1.2462619032465012;1.102707050393078;0.7153729240649782
23/02;D02M;1187;1.23583840748886;1.1026597511212233;0.7188519413248687
23/02;D02M;1175;1.2362592756036372;1.1025541955080058;0.7188519413248687
23/02;D02M;1156;1.238079221632787;1.102432480206316;0.7223309585847592
23/02;D02M;1165;1.2366553518114922;1.102341115561399;0.7223309585847592
23/02;D02M;915;1.244883558796754;1.100950542915072;0.7153729240649782
23/02;D02M;1149;1.2386875260385874;1.1008481755741877;0.7275494844745949
23/02;D02M;905;1.2448207615321525;1.1006034843389303;0.7153729240649782
