data;estrategia;repeticao;r2
24/02;CV=5;90;0.046750381406978736
24/02;CV=5;91;-0.6790543204374897
24/02;CV=5;92;-0.179693547660021
24/02;CV=5;93;-0.12438892724995942
24/02;CV=5;94;-0.03270063624378494
24/02;CV=5;95;-0.16132390010893327
24/02;CV=5;96;-0.0936364252974724
24/02;CV=5;97;-0.5753006165633805
24/02;CV=5;98;0.1785556620174702
24/02;CV=5;99;-0.2921332930559708
24/02;CV=5;100;-0.154606598800773
25/02;70/30;1;0.44441572809970786
25/02;70/30;2;0.4527553133489405
25/02;70/30;3;0.5398920577981088
25/02;70/30;4;-1.23348599499338
25/02;70/30;5;0.5940408581363827
25/02;70/30;6;0.7838960666820354
25/02;70/30;7;0.6064650495780111
25/02;70/30;8;-0.27009463815763035
25/02;70/30;9;-1.0637860906031968
25/02;70/30;10;0.5323939697663602
25/02;70/30;11;0.6280318975569894
25/02;70/30;12;-0.3687575189113237
25/02;70/30;13;-0.36124244128513117
25/02;70/30;14;0.7476022460273444
25/02;70/30;15;0.5065529300680208
25/02;70/30;16;0.21183945326181042
25/02;70/30;17;0.11809324628653406
25/02;70/30;18;-0.4930578005529964
25/02;70/30;19;0.39808559514381725
25/02;70/30;20;-0.11803138963531978
25/02;70/30;21;0.34873800414990763
25/02;70/30;22;0.7989993475755333
25/02;70/30;23;0.2946678051814223
25/02;70/30;24;0.754615212043154
25/02;70/30;25;0.6272466692721297
25/02;70/30;26;0.578744179238704
25/02;70/30;27;0.6071899470033508
25/02;70/30;28;0.4668064445218524
25/02;70/30;29;0.7826414340272447
25/02;70/30;30;0.6315264395839022
25/02;70/30;31;0.7573621445619467
25/02;70/30;32;0.6928215624145577
25/02;70/30;33;0.44302821990687824
25/02;70/30;34;0.6773379085457951
25/02;70/30;35;-0.919589069832534
25/02;70/30;36;-0.12049838979038374
25/02;70/30;37;0.7291692176198175
25/02;70/30;38;0.6742613184319464
25/02;70/30;39;-1.6927073605191678
25/02;70/30;40;0.573778401778913
25/02;70/30;41;0.3513442139150934
25/02;70/30;42;0.5062471630869714
25/02;70/30;43;0.5131198499738497
25/02;70/30;44;0.5475117946571817
25/02;70/30;45;0.7139996219989424
25/02;70/30;46;0.6172765372280301
25/02;70/30;47;-3.0115071412429772
25/02;70/30;48;0.5857011443120717
25/02;70/30;49;-2.093526427869385
25/02;70/30;50;0.45673306804956326
25/02;70/30;51;0.5535767141397707
25/02;70/30;52;0.6675759060794022
25/02;70/30;53;0.3257162642336202
25/02;70/30;54;-0.4521113898408029
25/02;70/30;55;-0.7636428964103315
25/02;70/30;56;0.5404180479344274
25/02;70/30;57;0.41117949873551995
25/02;70/30;58;0.5443362649197457
25/02;70/30;59;0.5019884295868153
25/02;70/30;60;0.48504307075872866
25/02;70/30;61;0.7624366815710354
25/02;70/30;62;0.7565642985050071
25/02;70/30;63;0.5036864981344948
25/02;70/30;64;0.6003572734142355
25/02;70/30;65;0.05965857408617614
25/02;70/30;66;0.17738675420361139
25/02;70/30;67;0.3615531731765428
25/02;70/30;68;-0.34491324183340244
25/02;70/30;69;0.267884990910508
25/02;70/30;70;0.3644168410704465
25/02;70/30;71;0.13067025415683842
25/02;70/30;72;-0.157962952549475
25/02;70/30;73;0.7001326801813498
25/02;70/30;74;0.38302683403228743
25/02;70/30;75;0.7631375449325553
25/02;70/30;76;0.6696121925365315
25/02;70/30;77;0.5122766378991033
25/02;70/30;78;0.6594414137614737
25/02;70/30;79;0.5036031794313761
25/02;70/30;80;0.3343527870804337
25/02;70/30;81;-0.8943639512455388
25/02;70/30;82;0.5257429629611499
25/02;70/30;83;0.8400419826117028
25/02;70/30;84;-0.03216084863067015
25/02;70/30;85;0.4969761459930436
25/02;70/30;86;0.011904093437736019
25/02;70/30;87;0.2306745709712691
25/02;70/30;88;0.43543992195364833
25/02;70/30;89;0.5599912042556446
25/02;70/30;90;0.09391819612703456
25/02;70/30;91;-1.9377220200736756
25/02;70/30;92;0.4038270509337095
25/02;70/30;93;0.6683873851463582
25/02;70/30;94;0.7092284029802849
25/02;70/30;95;-0.033995870883636314
25/02;70/30;96;0.6487503229302974
25/02;70/30;97;0.10317124358654117
25/02;70/30;98;0.5935481211940431
25/02;70/30;99;-1.0008978305544591
25/02;70/30;100;0.22954046078981094
25/02;80/20;1;0.37578590653212063
25/02;80/20;2;0.7215445886986342
25/02;80/20;3;0.6187860568204079
25/02;80/20;4;0.24295546059570194
25/02;80/20;5;0.8408514786741144
25/02;80/20;6;0.7076924324944063
25/02;80/20;7;0.8035159804258482
25/02;80/20;8;-0.3213772087288864
25/02;80/20;9;-0.78260829471963
25/02;80/20;10;-0.12724605297003988
25/02;80/20;11;0.6576330688844363
25/02;80/20;12;0.8085543187639367
