bloco;genotipo;condicao;CHL TOTAL (03/03);predito_cv;residuo_cv
B1;BR16;IRRIG;44.9;46.42949216627454;-1.5294921662745438
B2;BR16;IRRIG;42.083333333333336;44.08020274373431;-1.9968694104009757
B3;BR16;IRRIG;44.64;42.785110612511836;1.8548893874881642
B4;BR16;IRRIG;44.96;41.420106469375234;3.5398935306247665
B1;BR16;NIRRIG;46.58;45.61717046037441;0.9628295396255879
B2;BR16;NIRRIG;46.86666666666667;44.63408861373522;2.2325780529314443
B3;BR16;NIRRIG;43.580000000000005;43.291036070246406;0.2889639297535993
B4;BR16;NIRRIG;46.28;45.19665090781062;1.0833490921893798
B1;EMB48;IRRIG;43.08;40.3344942675701;2.7455057324298977
B2;EMB48;IRRIG;41.050000000000004;44.71752518878821;-3.667525188788204
B3;EMB48;IRRIG;40.949999999999996;40.564561382048616;0.38543861795137957
B4;EMB48;IRRIG;40.9;43.29855218355788;-2.3985521835578822
B1;EMB48;NIRRIG;42.059999999999995;39.60035725100091;2.4596427489990873
B2;EMB48;NIRRIG;43.23333333333334;42.234904851759325;0.9984284815740168
B3;EMB48;NIRRIG;40.13333333333333;41.39307259569357;-1.2597392623602346
B4;EMB48;NIRRIG;43.279999999999994;39.990330720206416;3.2896692797935785
B1;CD202;IRRIG;41.666666666666664;38.98468833047293;2.681978336193737
B2;CD202;IRRIG;38.050000000000004;41.453622636555174;-3.40362263655517
B3;CD202;IRRIG;39.06666666666667;40.898153719056296;-1.831487052389626
B4;CD202;IRRIG;42.339999999999996;43.41749505146;-1.077495051460005
B1;CD202;NIRRIG;42.28;41.71704785915329;0.5629521408467113
B2;CD202;NIRRIG;37.35;42.78079047189648;-5.430790471896479
B3;CD202;NIRRIG;38.78;43.37796565944398;-4.597965659443979
B4;CD202;NIRRIG;38.94;39.3696156125515;-0.42961561255150116
