bloco;genotipo;condicao;CHL TOTAL (24/02);predito_cv;residuo_cv
B1;BR16;IRRIG;44.38333333333333;43.054398888577;1.3289344447563352
B2;BR16;IRRIG;42.0;41.76478186419272;0.2352181358072798
B3;BR16;IRRIG;46.01666666666667;42.04856173977985;3.9681049268868236
B4;BR16;IRRIG;42.13333333333333;44.45789176297878;-2.3245584296454496
B1;BR16;NIRRIG;43.475;44.17252251006304;-0.6975225100630382
B2;BR16;NIRRIG;43.76666666666666;44.207548941858434;-0.44088227519177536
B3;BR16;NIRRIG;40.25;39.150075066649606;1.099924933350394
B4;BR16;NIRRIG;41.550000000000004;43.97064403951834;-2.4206440395183364
B1;EMB48;IRRIG;42.199999999999996;40.31360577632597;1.8863942236740243
B2;EMB48;IRRIG;38.1;44.08495633937336;-5.984956339373362
B3;EMB48;IRRIG;40.25;39.569132281239625;0.6808677187603749
B4;EMB48;IRRIG;40.98333333333333;39.49100087662836;1.4923324567049647
B1;EMB48;NIRRIG;36.28333333333333;39.79626865786468;-3.512935324531348
B2;EMB48;NIRRIG;40.739999999999995;40.3913021788063;0.34869782119369575
B3;EMB48;NIRRIG;41.839999999999996;39.587032135052574;2.252967864947422
B4;EMB48;NIRRIG;38.62;37.40055000194214;1.2194499980578541
B1;CD202;IRRIG;40.51666666666667;39.30984974351704;1.2068169231496313
B2;CD202;IRRIG;38.85;41.3906957047754;-2.540695704775402
B3;CD202;IRRIG;36.85;39.68208384349172;-2.8320838434917164
B4;CD202;IRRIG;39.38;40.86882364685111;-1.4888236468511096
B1;CD202;NIRRIG;37.18333333333334;38.53766202940205;-1.3543286960687126
B2;CD202;NIRRIG;39.216666666666676;37.45602630543656;1.7606403612301165
B3;CD202;NIRRIG;39.519999999999996;38.303289814315605;1.2167101856843914
B4;CD202;NIRRIG;38.516666666666666;37.48370572819252;1.0329609384741474
