data_clorofila_total;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_clorofila_total
26/02;D05M;712;1.4303887898405605;3.44105921472384;-0.2539130434782608
26/02;D05M;2486;1.1014087615769568;1.4564574518981344;-0.1252173913043478
26/02;D05M;366;1.355609104981074;1.4193968978470473;-0.1660869565217391
26/02;D05M;2499;1.0958272658583572;1.3738040539604703;-0.1234782608695652
26/02;D05M;702;1.5922215157678397;1.3652647148444328;-0.5017391304347826
26/02;D05M;701;1.551163701964243;1.3062347639122642;-0.5252173913043477
26/02;D05M;539;1.3945759348985978;1.2873192981136306;-0.4747826086956521
26/02;D05M;545;1.425026583176103;1.2732214264713908;-0.5043478260869565
26/02;D05M;358;1.319702178805101;1.2722702116751787;-0.2113043478260869
26/02;D05M;557;1.4292104381620063;1.2699742905097526;-0.5121739130434783
26/02;D05M;560;1.4000486901306697;1.2643493827694343;-0.4747826086956521
26/02;D05M;2473;1.0964317192784268;1.21173846691113;-0.1252173913043478
26/02;D05M;527;1.2093139348355662;1.175741820618244;-0.4704347826086955
26/02;D05M;570;1.2190353206198206;1.160912150578565;-0.4704347826086955
26/02;D05M;2463;1.097843516578502;1.1604732487791625;-0.1356521739130434
26/02;D05M;2461;1.0958602686156809;1.1381855321300691;-0.1321739130434782
26/02;D05M;1917;1.1367253127126726;1.0637308703071473;-0.1043478260869565
26/02;D05M;696;1.1734441556706172;1.0573374040965091;-0.4130434782608695
26/02;D05M;374;1.4727887534875044;1.0523765240943144;-0.1391304347826087
26/02;D05M;1989;1.0032616474450051;1.046164225931394;0.0365217391304347
26/02;D05M;1922;1.1308278925495838;1.03723861803735;-0.0947826086956521
26/02;D05M;391;1.43161748217615;0.9735499291229311;-0.1408695652173913
26/02;D05M;584;1.0972186212768458;0.9696162290413068;-0.4191304347826086
26/02;D05M;1910;1.1386478263804354;0.9631473655484142;-0.0721739130434782
26/02;D05M;2451;1.0840716516024114;0.9427960350319872;-0.1217391304347826
26/02;D05M;2374;1.0048607490162929;0.9280813106555104;-0.0278260869565217
26/02;D05M;384;1.4972243729792;0.9017021927997764;-0.1452173913043478
26/02;D05M;599;1.1201272616527436;0.8793208824486;-0.3999999999999999
26/02;D05M;600;1.1234996820935672;0.8734414414044274;-0.3999999999999999
26/02;D05M;1934;1.1106153035590425;0.8557639186398589;-0.0843478260869565
26/02;D05M;519;1.1104134949849116;0.8416335757407868;-0.3791304347826086
26/02;D05M;2386;1.011281663996607;0.819152446234041;-0.0339130434782608
26/02;D05M;610;1.177598566496595;0.7875829829672296;-0.3626086956521738
26/02;D05M;509;1.411144302799242;0.7772554808090433;-0.2356521739130434
26/02;D05M;630;1.307483091911671;0.7729291620516234;-0.3060869565217391
26/02;D05M;620;1.2716606979890972;0.7709033565272113;-0.3060869565217391
26/02;D05M;640;1.3801074243182585;0.7545767939881728;-0.2565217391304347
26/02;D05M;2394;1.0175314842142402;0.7341023130762591;-0.0339130434782608
26/02;D05M;2438;1.068873275384708;0.6957149640498345;-0.1069565217391304
26/02;D05M;1942;1.0958291487192773;0.6875002195242611;-0.0730434782608695
26/02;D05M;497;1.542424385205183;0.676472931652971;-0.128695652173913
26/02;D05M;1972;1.0371626880983122;0.6556554361417084;-0.0243478260869565
26/02;D05M;650;1.4723050183897484;0.6507582252900422;-0.1826086956521739
26/02;D05M;408;1.4762841096677348;0.6279983084706735;-0.1539130434782608
26/02;D05M;2403;1.0278288866524383;0.6055093027583937;-0.0339130434782608
26/02;D05M;1901;1.1180207978095948;0.5910455793433094;-0.0382608695652173
26/02;D05M;660;1.5052489018847286;0.5622521804014687;-0.1052173913043478
26/02;D05M;482;1.5516362820286664;0.5338210885644068;-0.0904347826086956
26/02;D05M;1952;1.0764845573485948;0.5296034857913242;-0.0513043478260869
26/02;D05M;1963;1.0550252034019922;0.523085195137696;-0.0513043478260869
26/02;D05M;2425;1.0526628787589478;0.5145461658402327;-0.0904347826086956
26/02;D05M;689;1.4102238328155787;0.4901545523544032;-0.2356521739130434
26/02;D05M;2419;1.0459309959524514;0.48975515231415;-0.088695652173913
26/02;D05M;473;1.5341451269225097;0.4388115938038241;-0.0913043478260869
26/02;D05M;675;1.4964280779487729;0.4161455848511997;-0.1052173913043478
26/02;D05M;423;1.5098837078351712;0.4089557860783283;-0.0991304347826086
26/02;D05M;462;1.5304141913805114;0.3959966571125844;-0.0904347826086956
26/02;D05M;411;1.526383451670713;0.3867228247726226;-0.1243478260869565
26/02;D05M;456;1.5233875370505687;0.3801784120499482;-0.0904347826086956
26/02;D05M;440;1.5331953649126682;0.3719262677296632;-0.0617391304347826
26/02;D05M;437;1.5159123143819826;0.3714965996318389;-0.0860869565217391
