bloco;genotipo;condicao;CHL TOTAL (23/02);predito_cv;residuo_cv
B1;BR16;IRRIG;41.61666666666667;41.27377519042177;0.342891476244894
B2;BR16;IRRIG;38.13333333333333;37.28234378975774;0.8509895435755936
B3;BR16;IRRIG;41.199999999999996;40.272056894259066;0.9279431057409298
B4;BR16;IRRIG;39.96666666666667;36.71038637038591;3.2562802962807567
B1;BR16;NIRRIG;42.13333333333333;44.01316386932973;-1.8798305359963976
B2;BR16;NIRRIG;40.88333333333333;39.39616414830306;1.4871691850302753
B3;BR16;NIRRIG;37.78333333333333;38.20297372273649;-0.4196403894031562
B4;BR16;NIRRIG;41.199999999999996;39.570405806836774;1.6295941931632214
B1;EMB48;IRRIG;37.96666666666667;40.116604090707455;-2.149937424040786
B2;EMB48;IRRIG;35.25;36.620256250428035;-1.3702562504280351
B3;EMB48;IRRIG;35.449999999999996;36.362053897894604;-0.9120538978946087
B4;EMB48;IRRIG;38.78;36.72148938234053;2.058510617659472
B1;EMB48;NIRRIG;35.699999999999996;39.75492338662469;-4.054923386624694
B2;EMB48;NIRRIG;39.84;38.34075989875126;1.4992401012487448
B3;EMB48;NIRRIG;39.949999999999996;39.037587323191566;0.9124126768084295
B4;EMB48;NIRRIG;37.63333333333333;37.448368016817774;0.1849653165155587
B1;CD202;IRRIG;38.06666666666666;39.02712314376263;-0.9604564770959669
B2;CD202;IRRIG;36.400000000000006;35.94968255727816;0.4503174427218468
B3;CD202;IRRIG;33.02;35.02971960581475;-2.0097196058147446
B4;CD202;IRRIG;35.45;36.80659219914751;-1.3565921991475065
B1;CD202;NIRRIG;36.76666666666667;38.34754825154402;-1.5808815848773463
B2;CD202;NIRRIG;38.43333333333333;36.508336877395784;1.9249964559375456
B3;CD202;NIRRIG;38.61666666666667;38.8183376809073;-0.20167101424063105
B4;CD202;NIRRIG;38.95;39.972894777190305;-1.0228947771903023
