data_yield;coleta_espectral;n;bandas_iniciais;representantes_spearman;bandas_vip_ge_1;componentes;r2_ajuste;rmse_ajuste;r2_cv_bloco;rmse_cv_bloco
23/02;D02M;24;2151;218;105;1;0.6199646549862668;1.4062348429454996;0.4690574475760141;1.662147750500447
24/02;D03M;24;2151;216;39;6;0.7681849388852862;1.1547672581186235;0.14929770713470292;2.2121391343239027
25/02;D04M;24;2151;216;32;3;0.7070284775559997;1.2594623211511906;0.5306162312005123;1.5941768908044434
26/02;D05M;24;2151;216;61;4;0.5603122235606974;1.5820230301175986;0.10009111601136256;2.263288282162619
27/02;D06M;24;2151;217;41;6;0.6861522688229328;1.1941077421149129;0.18118485553154795;1.9287544928128157
02/03;D09M;24;2151;217;79;3;0.5740074990773292;1.7047326610326095;0.32646326355456556;2.14356150429248
03/03;D10M;24;2151;216;30;2;0.39146592093870547;2.0482313307609874;0.09195656833154009;2.502014737142054
