bloco;genotipo;condicao;CHL TOTAL (26/02);predito_cv;residuo_cv
B1;BR16;IRRIG;42.699999999999996;39.4280189449961;3.2719810550038986
B2;BR16;IRRIG;38.92;43.02276780154106;-4.102767801541056
B3;BR16;IRRIG;45.699999999999996;41.20153864900247;4.498461350997523
B4;BR16;IRRIG;42.88333333333333;40.68406478451272;2.199268548820612
B1;BR16;NIRRIG;44.36;41.55358515978205;2.806414840217947
B2;BR16;NIRRIG;42.0;45.128482395673444;-3.128482395673444
B3;BR16;NIRRIG;39.26666666666667;39.27014166078508;-0.0034749941184060162
B4;BR16;NIRRIG;41.519999999999996;42.554647257574345;-1.034647257574349
B1;EMB48;IRRIG;40.43333333333334;39.37026673894135;1.0630665943919837
B2;EMB48;IRRIG;36.11666666666667;37.92637033292596;-1.8097036662592956
B3;EMB48;IRRIG;37.333333333333336;38.23212139426746;-0.8987880609341232
B4;EMB48;IRRIG;38.1;39.2139296127597;-1.1139296127596978
B1;EMB48;NIRRIG;39.833333333333336;38.25471833208983;1.5786150012435058
B2;EMB48;NIRRIG;40.36666666666667;40.662147733380216;-0.295481066713549
B3;EMB48;NIRRIG;37.733333333333334;33.720611391852785;4.0127219414805495
B4;EMB48;NIRRIG;38.083333333333336;39.98132955394055;-1.8979962206072116
B1;CD202;IRRIG;38.916666666666664;38.603566585993335;0.31310008067332973
B2;CD202;IRRIG;38.86666666666667;38.97625307826373;-0.10958641159706417
B3;CD202;IRRIG;36.800000000000004;38.82888919548419;-2.028889195484183
B4;CD202;IRRIG;38.36666666666667;41.170306641214644;-2.803639974547977
B1;CD202;NIRRIG;38.0;39.17332938265233;-1.1733293826523266
B2;CD202;NIRRIG;37.5;39.666899798866936;-2.166899798866936
B3;CD202;NIRRIG;38.239999999999995;40.18876505053088;-1.9487650505308878
B4;CD202;NIRRIG;38.879999999999995;39.82861425560295;-0.9486142556029549
