data_clorofila_total;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_clorofila_total
27/02;D06M;1893;1.0281727164224794;2.0533801285837487;-0.0930434782608695
27/02;D06M;719;1.1587840381940382;1.909141025314404;-0.308695652173913
27/02;D06M;356;3.30309019542513;1.863557730999532;0.2965217391304348
27/02;D06M;1886;1.0569073840990435;1.789779186288093;-0.0869565217391304
27/02;D06M;360;3.1987239281860487;1.71773340677381;0.2182608695652173
27/02;D06M;700;2.135720523426042;1.4303678538148523;-0.5008695652173912
27/02;D06M;703;2.1401953815501225;1.234597291432554;-0.571304347826087
27/02;D06M;550;2.0732187597731877;1.181200449695545;-0.4113043478260869
27/02;D06M;562;2.020350113352503;1.1660910055183633;-0.4104347826086956
27/02;D06M;695;1.607340157202883;1.138529268443822;-0.2626086956521739
27/02;D06M;542;2.038994569959578;1.1201208189155718;-0.4260869565217391
27/02;D06M;539;2.035848448920193;1.0979873876529145;-0.4139130434782608
27/02;D06M;709;1.795642619299367;1.0947754896969983;-0.468695652173913
27/02;D06M;572;1.8038437996964576;0.9931806379688246;-0.2834782608695652
27/02;D06M;529;1.9234407195977383;0.9828617697243764;-0.3243478260869564
27/02;D06M;413;1.4633053943502137;0.9350593900724932;-0.0478260869565217
27/02;D06M;580;1.6430658956820985;0.8387849221491234;-0.2721739130434782
27/02;D06M;370;1.9982236390419617;0.8189962149438554;0.12
27/02;D06M;519;1.593845354660103;0.7829672745825837;-0.2052173913043478
27/02;D06M;590;1.5635126045586691;0.774185522209625;-0.248695652173913
27/02;D06M;600;1.5295779880506457;0.7308637657320138;-0.2017391304347826
27/02;D06M;499;1.6904942538075514;0.6965523288589969;-0.04
27/02;D06M;689;1.602858858705416;0.6720239551998658;-0.1034782608695652
27/02;D06M;507;1.6266859823081334;0.670044128729614;-0.0834782608695652
27/02;D06M;427;1.5381587369824214;0.6634563155280137;-0.0260869565217391
27/02;D06M;430;1.528093030922666;0.6202823069322912;-0.0295652173913043
27/02;D06M;677;1.603602342497119;0.6055660826649005;-0.0147826086956521
27/02;D06M;610;1.489342752467144;0.5996055089847291;-0.1852173913043477
27/02;D06M;640;1.56181699239159;0.5792886174105366;-0.1052173913043478
27/02;D06M;635;1.5246204178284877;0.5533841114521351;-0.1156521739130434
27/02;D06M;620;1.4998442946760204;0.552764746942468;-0.1060869565217391
27/02;D06M;650;1.596742941553717;0.532585114885246;-0.0617391304347826
27/02;D06M;386;1.9365136104194225;0.5312204475998372;0.0869565217391304
27/02;D06M;451;1.5751450883133151;0.5120923617816161;-0.0365217391304347
27/02;D06M;460;1.5674859250129791;0.5066825947810694;-0.0321739130434782
27/02;D06M;397;1.8082471397068112;0.4981795241620457;0.0747826086956521
27/02;D06M;487;1.63569797258381;0.4904233769635078;-0.0104347826086956
27/02;D06M;660;1.5933003483226031;0.4699915696790352;-0.0278260869565217
27/02;D06M;402;1.9141378884428173;0.4648996328509795;0.0495652173913043
27/02;D06M;448;1.5662885381447569;0.4561814039699259;-0.0365217391304347
27/02;D06M;470;1.6052927177910772;0.4257710067977159;-0.0078260869565217
