dia;clorofila_total_observada;clorofila_total_predita_cv
23/02;41.61666666666667;41.27377519042177
23/02;38.13333333333333;37.28234378975774
23/02;41.2;40.272056894259066
23/02;39.96666666666667;36.71038637038591
23/02;42.13333333333333;44.01316386932973
23/02;40.88333333333333;39.39616414830306
23/02;37.78333333333333;38.20297372273649
23/02;41.2;39.57040580683677
23/02;37.96666666666667;40.116604090707455
23/02;35.25;36.62025625042804
23/02;35.45;36.36205389789461
23/02;38.78;36.72148938234053
23/02;35.7;39.75492338662469
23/02;39.84;38.34075989875126
23/02;39.95;39.037587323191566
23/02;37.63333333333333;37.448368016817774
23/02;38.06666666666666;39.02712314376263
23/02;36.400000000000006;35.94968255727816
23/02;33.02;35.02971960581475
23/02;35.45;36.80659219914751
23/02;36.76666666666667;38.34754825154402
23/02;38.43333333333333;36.50833687739578
23/02;38.61666666666667;38.8183376809073
23/02;38.95;39.97289477719031
24/02;44.38333333333333;43.054398888577
24/02;42.0;41.76478186419272
24/02;46.01666666666667;42.04856173977985
24/02;42.13333333333333;44.45789176297878
24/02;43.475;44.17252251006304
24/02;43.76666666666666;44.207548941858434
24/02;40.25;39.150075066649606
24/02;41.55;43.97064403951834
24/02;42.2;40.31360577632597
24/02;38.1;44.08495633937336
24/02;40.25;39.569132281239625
24/02;40.98333333333333;39.49100087662836
24/02;36.28333333333333;39.79626865786468
24/02;40.74;40.3913021788063
24/02;41.84;39.587032135052574
24/02;38.62;37.40055000194214
24/02;40.51666666666667;39.30984974351704
24/02;38.85;41.3906957047754
24/02;36.85;39.68208384349172
24/02;39.38;40.86882364685111
24/02;37.18333333333334;38.53766202940205
24/02;39.21666666666668;37.45602630543656
24/02;39.52;38.303289814315605
24/02;38.516666666666666;37.48370572819252
25/02;42.93333333333334;42.20594374719472
25/02;41.88333333333333;41.52416973680916
25/02;44.3;43.29820130919591
25/02;42.75;43.25531445686478
25/02;45.22;44.48071640390312
25/02;44.68333333333334;43.139579912646944
25/02;40.016666666666666;41.01383966058407
25/02;42.24;44.21248877192424
25/02;42.73333333333333;39.14922219861641
25/02;38.16666666666666;39.62830056980305
25/02;40.03333333333333;40.82402874204791
25/02;40.24999999999999;38.53212685062721
25/02;37.06666666666667;38.88221977031712
25/02;41.18333333333334;40.282455382346114
25/02;39.3;35.490985650433856
25/02;38.48333333333333;37.78205288667407
25/02;40.150000000000006;39.82084006827368
25/02;39.26666666666667;39.499212466199175
25/02;36.266666666666666;38.2353332523901
25/02;39.41666666666666;40.71653793747048
25/02;38.08;40.14769333033325
25/02;39.833333333333336;40.76038016854147
25/02;39.36666666666667;38.26786502519256
25/02;38.833333333333336;40.068321004872985
26/02;42.7;39.4280189449961
26/02;38.92;43.02276780154106
26/02;45.7;41.20153864900247
26/02;42.88333333333333;40.68406478451272
26/02;44.36;41.55358515978205
26/02;42.0;45.12848239567344
26/02;39.26666666666667;39.27014166078508
26/02;41.52;42.554647257574345
26/02;40.43333333333334;39.37026673894135
26/02;36.11666666666667;37.92637033292596
26/02;37.333333333333336;38.23212139426746
26/02;38.1;39.2139296127597
26/02;39.833333333333336;38.25471833208983
26/02;40.36666666666667;40.662147733380216
26/02;37.73333333333333;33.720611391852785
26/02;38.083333333333336;39.98132955394055
26/02;38.91666666666666;38.603566585993335
26/02;38.86666666666667;38.97625307826373
26/02;36.8;38.82888919548419
26/02;38.36666666666667;41.17030664121464
26/02;38.0;39.17332938265233
26/02;37.5;39.666899798866936
26/02;38.24;40.18876505053088
26/02;38.88;39.82861425560295
27/02;43.083333333333336;42.06764499701546
27/02;40.95;43.36189807649062
27/02;44.6;39.8914003799802
27/02;43.98;42.15801432237193
27/02;43.81666666666667;42.92192884035061
27/02;42.84;43.39205330785403
27/02;40.78333333333334;40.55286205914655
27/02;42.06666666666666;40.25778157528851
27/02;40.92;42.18939623519636
27/02;37.68333333333333;41.33243086237805
27/02;38.85;39.21534147251019
27/02;39.84;38.235407642255815
27/02;40.01666666666667;37.860516542181614
27/02;40.7;41.39440365301317
27/02;38.48333333333333;38.83214631650825
27/02;39.583333333333336;39.01292397351418
27/02;38.68333333333333;41.67444182391251
27/02;40.86666666666667;41.87077240009303
27/02;36.8;35.84744363925602
27/02;38.61666666666666;40.21584027908576
27/02;37.61666666666667;40.81591503112791
27/02;38.46666666666667;40.662453166153306
27/02;38.5;37.85259173964686
27/02;39.18333333333333;38.548381850483096
02/03;42.8;43.07280075469404
02/03;38.16666666666666;39.55548845594355
02/03;43.400000000000006;39.64690983353151
02/03;41.7;39.71431786833006
02/03;44.55;41.57498450566854
02/03;45.21666666666667;45.309578916805705
02/03;44.6;44.93890603409739
02/03;46.76666666666667;43.38338203489971
02/03;40.11666666666667;38.62258481409924
02/03;39.96;39.46752369862797
02/03;38.99999999999999;37.96076203810826
02/03;37.03333333333333;39.021724459793376
02/03;39.72;42.50659832569993
02/03;41.53333333333333;40.08562745727371
02/03;39.7;41.57199662479203
02/03;41.55;39.91342586838961
02/03;39.03333333333333;42.068169005389926
02/03;37.54;40.1488504171236
02/03;39.96666666666667;37.81945779159598
02/03;40.71666666666667;42.54721943832874
02/03;39.36666666666667;38.20099334224968
02/03;36.65;40.08128123983845
02/03;38.616666666666674;40.60203063262639
02/03;39.71666666666667;42.0013295868651
03/03;44.9;46.42949216627454
03/03;42.083333333333336;44.08020274373431
03/03;44.64;42.78511061251184
03/03;44.96;41.420106469375234
03/03;46.58;45.61717046037441
03/03;46.86666666666667;44.63408861373522
03/03;43.580000000000005;43.291036070246406
03/03;46.28;45.19665090781062
03/03;43.08;40.3344942675701
03/03;41.05;44.71752518878821
03/03;40.95;40.564561382048616
03/03;40.9;43.29855218355788
03/03;42.06;39.60035725100091
03/03;43.23333333333334;42.234904851759325
03/03;40.13333333333333;41.39307259569357
03/03;43.28;39.990330720206416
03/03;41.66666666666666;38.98468833047293
03/03;38.05;41.45362263655517
03/03;39.06666666666667;40.898153719056296
03/03;42.34;43.41749505146
03/03;42.28;41.71704785915329
03/03;37.35;42.78079047189648
03/03;38.78;43.37796565944398
03/03;38.94;39.3696156125515
