fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
1;1;1;0.505250206965205
1;1;1;0.5209620857395714
1;1;1;1.4536691471831564
1;0;0;0.3774222649025106
1;0;0;0.37800700734482723
1;0;0;0.2160663607416497
1;1;1;0.6875657645142812
1;1;1;0.6877132010532119
1;0;0;0.17359181257622192
1;0;0;0.15210564227729217
1;0;0;0.08582942913354907
1;1;1;0.6708023919961448
1;1;1;0.8792937078314116
1;1;1;0.7814229502167793
1;0;0;-0.10613973783319375
1;0;0;0.17961542811604075
2;0;0;0.1480156261638727
2;0;0;-0.09021356457502616
2;0;0;-0.05569080820228811
2;1;1;0.5562728976592575
2;1;1;1.433043527659852
2;0;0;0.37695249193670777
2;0;0;0.23649204692554
2;0;0;0.20870229317820355
2;1;1;1.0128594721100692
2;1;1;0.7539771362037135
2;0;0;-0.11955500417695109
2;0;0;0.2855946615639677
2;1;1;1.0555329275777443
2;1;1;1.0720355351814947
2;1;1;0.9517200033688878
2;1;1;0.8240239548565105
3;0;0;0.12639362410863847
3;1;1;0.5386308533118781
3;1;1;1.4146091072459182
3;0;0;0.4047961776355341
3;0;0;0.18562192409923345
3;1;1;0.9789528152115123
3;1;1;0.7153413461793086
3;0;0;0.049525538269266145
3;0;0;0.04280836275410471
3;0;0;0.06179167621211429
3;1;1;0.7408219129390162
3;1;1;0.6258133461235107
3;1;1;0.5607312112402429
3;0;0;-0.08947717902698515
3;0;0;0.22726299182381382
3;1;1;1.0463145304865622
4;0;0;0.13931375387079015
4;0;0;0.11037802225211268
4;0;0;-0.011335314562907373
4;0;0;0.005781940446274225
4;1;1;1.4429847841445165
4;1;1;0.9988214209293422
4;1;1;0.9963051058782615
4;1;1;0.6785424338971139
4;0;0;0.1165004780595707
4;0;0;0.1003151176364494
4;1;1;0.6727768068969592
4;0;0;-0.08974172221527199
4;0;0;0.22589262479662386
4;1;1;1.0781985122316977
4;1;1;0.8831025170263066
4;1;1;0.8482548959356758
