bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;41.03986888863353;0.5767977780331393
B2;BR16;IRRIG;23/02;38.13333333333333;41.60624813164775;-3.47291479831442
B3;BR16;IRRIG;23/02;41.199999999999996;41.63515170180462;-0.4351517018046209
B4;BR16;IRRIG;23/02;39.96666666666667;42.969077655543124;-3.0024109888764556
B1;BR16;NIRRIG;23/02;42.13333333333333;41.68331622085719;0.4500171124761394
B2;BR16;NIRRIG;23/02;40.88333333333333;41.812697939767716;-0.9293646064343832
B3;BR16;NIRRIG;23/02;37.78333333333333;39.36726404921407;-1.58393071588074
B4;BR16;NIRRIG;23/02;41.199999999999996;44.291905473014374;-3.0919054730143785
B1;EMB48;IRRIG;23/02;37.96666666666667;39.58582522220593;-1.619158555539265
B2;EMB48;IRRIG;23/02;35.25;40.422460508093586;-5.172460508093586
B3;EMB48;IRRIG;23/02;35.449999999999996;40.982515388877225;-5.532515388877229
B4;EMB48;IRRIG;23/02;38.78;39.24425607136547;-0.46425607136546887
B1;EMB48;NIRRIG;23/02;35.699999999999996;36.02714887025679;-0.3271488702567922
B2;EMB48;NIRRIG;23/02;39.84;39.38137374414872;0.4586262558512857
B3;EMB48;NIRRIG;23/02;39.949999999999996;38.47078373541865;1.4792162645813463
B4;EMB48;NIRRIG;23/02;37.63333333333333;38.32631364900839;-0.692980315675058
B1;CD202;IRRIG;23/02;38.06666666666666;38.56895163976998;-0.5022849731033148
B2;CD202;IRRIG;23/02;36.400000000000006;40.76269454203118;-4.362694542031171
B3;CD202;IRRIG;23/02;33.02;40.21186233553315;-7.191862335533145
B4;CD202;IRRIG;23/02;35.45;39.413105342199614;-3.9631053421996114
B1;CD202;NIRRIG;23/02;36.76666666666667;39.47944859924818;-2.712781932581507
B2;CD202;NIRRIG;23/02;38.43333333333333;40.647037211840036;-2.2137038785067062
B3;CD202;NIRRIG;23/02;38.61666666666667;39.247501906029925;-0.6308352393632575
B4;CD202;NIRRIG;23/02;38.95;38.17663798747663;0.7733620125233713
B1;BR16;IRRIG;24/02;44.38333333333333;42.85963124999606;1.5237020833372696
B2;BR16;IRRIG;24/02;42.0;40.996748687017444;1.003251312982556
B3;BR16;IRRIG;24/02;46.01666666666667;41.45761700875938;4.559049657907295
B4;BR16;IRRIG;24/02;42.13333333333333;42.18551713711389;-0.05218380378055798
B1;BR16;NIRRIG;24/02;43.475;42.36582273368256;1.1091772663174382
B2;BR16;NIRRIG;24/02;43.76666666666666;41.93886838923108;1.8277982774355763
B3;BR16;NIRRIG;24/02;40.25;40.454566652075705;-0.20456665207570524
B4;BR16;NIRRIG;24/02;41.550000000000004;42.39004074861444;-0.8400407486144346
B1;EMB48;IRRIG;24/02;42.199999999999996;38.4631599927773;3.736840007222696
