componentes;r2_cv_bloco;rmse_cv_bloco
1;0.055369715960968735;2.6094056366329053
2;0.21602518613136246;2.3771780923865853
3;0.24031931793352945;2.3400557557287596
4;0.3218227102571062;2.210967125028535
