fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.94
1;NIRRIG;1;1;0.95
1;NIRRIG;1;1;0.85
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.11
1;NIRRIG;1;1;0.84
1;NIRRIG;1;1;0.79
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.02
1;IRRIG;0;0;0.03
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.37
2;IRRIG;0;0;0.33
2;NIRRIG;1;1;0.85
2;NIRRIG;1;1;0.96
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.21
2;IRRIG;0;0;0.12
2;NIRRIG;1;1;0.98
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.01
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.99
2;NIRRIG;1;1;0.93
2;NIRRIG;1;1;0.95
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.95
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;0.9
3;NIRRIG;1;1;0.97
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.04
3;IRRIG;0;0;0.03
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.07
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.16
4;IRRIG;0;0;0.32
4;NIRRIG;1;1;0.95
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.89
4;IRRIG;0;0;0.01
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.03
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.95
4;NIRRIG;1;1;0.95
