componentes;r2_cv_bloco;rmse_cv_bloco
1;0.1066395185877127;2.5376050649590227
2;0.2480622184321607;2.3280999272814147
3;0.27978084820997096;2.278468331992223
4;0.28635960338288946;2.26803826189944
5;0.3211528921647375;2.2120587129598333
