genotipo;fold;banda_nm;importancia_gini
CD202;1;1480;0.16555114705459453
CD202;1;1997;0.23635110565704112
CD202;1;2007;0.2398541631972331
CD202;1;1987;0.2812773688603363
CD202;1;1470;0.07696621523079497
CD202;2;1480;0.16444932065752502
CD202;2;1997;0.21720177314709901
CD202;2;2007;0.26736456167144457
CD202;2;1987;0.25374854059416524
CD202;2;1470;0.09723580392976632
CD202;3;1480;0.1217207963514075
CD202;3;1997;0.2529425501012204
CD202;3;2007;0.2701375803603511
CD202;3;1987;0.26091597004390366
CD202;3;1470;0.09428310314311734
CD202;4;1480;0.18403109273970708
CD202;4;1997;0.21954524353675647
CD202;4;2007;0.29391017253596097
CD202;4;1987;0.201122619783912
CD202;4;1470;0.10139087140366344
CD202;5;1480;0.15415862267912844
CD202;5;1997;0.21370758605027576
CD202;5;2007;0.315305403613935
CD202;5;1987;0.20860280111643484
CD202;5;1470;0.10822558654022604
