metrica;media;desvio
accuracy;0.890625;0.21875
balanced_accuracy;0.890625;0.21875
precision;1.0;0.0
recall;0.78125;0.4375
f1;0.8055555555555556;0.3888888888888889
auc_roc;1.0;0.0
