genotipo;fold;banda_nm;importancia_gini
EMB48;1;1943;0.18469650837455737
EMB48;1;1939;0.2543469043313182
EMB48;1;1938;0.24610212510865714
EMB48;1;1948;0.17598151759645925
EMB48;1;1933;0.13887294458900806
EMB48;2;1943;0.23666484682412472
EMB48;2;1939;0.22947629026772107
EMB48;2;1938;0.2296531026730746
EMB48;2;1948;0.18214440256361705
EMB48;2;1933;0.12206135767146253
EMB48;3;1943;0.220749175038397
EMB48;3;1939;0.22820808288723113
EMB48;3;1938;0.2230885109343834
EMB48;3;1948;0.1769263407400558
EMB48;3;1933;0.15102789039993259
EMB48;4;1943;0.17978883405238594
EMB48;4;1939;0.23859467271600085
EMB48;4;1938;0.26564789724373433
EMB48;4;1948;0.1607343660972363
EMB48;4;1933;0.15523422989064273
EMB48;5;1943;0.19202522109939021
EMB48;5;1939;0.24171478385573605
EMB48;5;1938;0.2328018049518143
EMB48;5;1948;0.14860095414663546
EMB48;5;1933;0.18485723594642411
