genotipo;fold;split;nomenclaura;bloco;condicao;dia
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00000.asd;B3;IRRIG;D02
EMB48;1;treino;B4_EMB48_IRRIG_REPROD00000.asd;B4;IRRIG;D02
EMB48;1;treino;B4_EMB48_IRRIG_REPROD00001.asd;B4;IRRIG;D02
EMB48;1;treino;B4_EMB48_IRRIG_REPROD00002.asd;B4;IRRIG;D02
EMB48;1;treino;B4_EMB48_IRRIG_REPROD00003.asd;B4;IRRIG;D02
EMB48;1;treino;B4_EMB48_IRRIG_REPROD00004.asd;B4;IRRIG;D02
EMB48;1;treino;B4_EMB48_IRRIG_REPROD00005.asd;B4;IRRIG;D02
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00001.asd;B3;IRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00000.asd;B4;NIRRIG;D02
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00002.asd;B3;IRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00001.asd;B4;NIRRIG;D02
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00003.asd;B3;IRRIG;D02
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00004.asd;B3;IRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00003.asd;B4;NIRRIG;D02
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00005.asd;B3;IRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00004.asd;B4;NIRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00005.asd;B4;NIRRIG;D02
EMB48;1;treino;B3_EMB48_IRRIG_REPROD00007.asd;B3;IRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00006.asd;B4;NIRRIG;D02
EMB48;1;treino;B3_EMB48_NIRRIG_REPROD00000.asd;B3;NIRRIG;D02
EMB48;1;treino;B4_EMB48_NIRRIG_REPROD00007.asd;B4;NIRRIG;D02
EMB48;1;treino;B3_EMB48_NIRRIG_REPROD00001.asd;B3;NIRRIG;D02
