modelo;modo;genotipo_avaliado;fold;split;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia
svm;agrupado;todos;1;treino;0;B1_BR16_IRRIG_REPROD00000.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;1;B1_BR16_IRRIG_REPROD00001.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;2;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;4;B1_BR16_IRRIG_REPROD00004.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;5;B1_BR16_IRRIG_REPROD00005.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;6;B1_BR16_IRRIG_REPROD00006.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;8;B1_BR16_NIRRIG_REPROD00000.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;9;B1_BR16_NIRRIG_REPROD00001.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;10;B1_BR16_NIRRIG_REPROD00002.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;11;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;12;B1_BR16_NIRRIG_REPROD00004.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;13;B1_BR16_NIRRIG_REPROD00005.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;14;B1_BR16_NIRRIG_REPROD00006.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;15;B1_BR16_NIRRIG_REPROD00007.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;16;B2_BR16_IRRIG_REPROD00000.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;17;B2_BR16_IRRIG_REPROD00001.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;19;B2_BR16_IRRIG_REPROD00003.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;20;B2_BR16_IRRIG_REPROD00004.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;21;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;22;B2_BR16_IRRIG_REPROD00006.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;23;B2_BR16_IRRIG_REPROD00007.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;24;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;25;B2_BR16_NIRRIG_REPROD00001.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;26;B2_BR16_NIRRIG_REPROD00002.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;27;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;30;B2_BR16_NIRRIG_REPROD00006.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;31;B2_BR16_NIRRIG_REPROD00007.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;32;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;34;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;35;B3_BR16_IRRIG_REPROD00003.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;36;B3_BR16_IRRIG_REPROD00004.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;37;B3_BR16_IRRIG_REPROD00005.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;38;B3_BR16_IRRIG_REPROD00006.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;39;B3_BR16_IRRIG_REPROD00007.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;40;B3_BR16_NIRRIG_REPROD00000.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;41;B3_BR16_NIRRIG_REPROD00001.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;42;B3_BR16_NIRRIG_REPROD00002.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;43;B3_BR16_NIRRIG_REPROD00003.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;45;B3_BR16_NIRRIG_REPROD00005.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;46;B3_BR16_NIRRIG_REPROD00006.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;47;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;48;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;50;B4_BR16_IRRIG_REPROD00002.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;51;B4_BR16_IRRIG_REPROD00003.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;52;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;53;B4_BR16_IRRIG_REPROD00005.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;54;B4_BR16_IRRIG_REPROD00006.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;56;B4_BR16_NIRRIG_REPROD00000.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;57;B4_BR16_NIRRIG_REPROD00001.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;58;B4_BR16_NIRRIG_REPROD00002.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;59;B4_BR16_NIRRIG_REPROD00003.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;60;B4_BR16_NIRRIG_REPROD00004.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;62;B4_BR16_NIRRIG_REPROD00006.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;64;B1_CD202_IRRIG_REPROD00000.asd;B1;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;65;B1_CD202_IRRIG_REPROD00001.asd;B1;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;66;B1_CD202_IRRIG_REPROD00002.asd;B1;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;69;B1_CD202_IRRIG_REPROD00005.asd;B1;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;71;B1_CD202_IRRIG_REPROD00007.asd;B1;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;72;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;73;B1_CD202_NIRRIG_REPROD00001.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;74;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;75;B1_CD202_NIRRIG_REPROD00003.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;76;B1_CD202_NIRRIG_REPROD00004.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;77;B1_CD202_NIRRIG_REPROD00005.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;79;B1_CD202_NIRRIG_REPROD00007.asd;B1;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;82;B2_CD202_IRRIG_REPROD00002.asd;B2;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;83;B2_CD202_IRRIG_REPROD00003.asd;B2;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;84;B2_CD202_IRRIG_REPROD00004.asd;B2;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;85;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;87;B2_CD202_IRRIG_REPROD00007.asd;B2;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;88;B2_CD202_NIRRIG_REPROD00000.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;89;B2_CD202_NIRRIG_REPROD00001.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;90;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;91;B2_CD202_NIRRIG_REPROD00003.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;92;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;93;B2_CD202_NIRRIG_REPROD00005.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;95;B2_CD202_NIRRIG_REPROD00007.asd;B2;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;96;B3_CD202_IRRIG_REPROD00000.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;97;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;99;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;100;B3_CD202_IRRIG_REPROD00004.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;101;B3_CD202_IRRIG_REPROD00005.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;102;B3_CD202_IRRIG_REPROD00006.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;103;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;104;B3_CD202_NIRRIG_REPROD00000.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;106;B3_CD202_NIRRIG_REPROD00002.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;107;B3_CD202_NIRRIG_REPROD00003.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;108;B3_CD202_NIRRIG_REPROD00004.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;109;B3_CD202_NIRRIG_REPROD00005.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;110;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;111;B3_CD202_NIRRIG_REPROD00007.asd;B3;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;112;B4_CD202_IRRIG_REPROD00000.asd;B4;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;113;B4_CD202_IRRIG_REPROD00001.asd;B4;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;114;B4_CD202_IRRIG_REPROD00002.asd;B4;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;116;B4_CD202_IRRIG_REPROD00004.asd;B4;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;118;B4_CD202_IRRIG_REPROD00006.asd;B4;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;119;B4_CD202_IRRIG_REPROD00007.asd;B4;CD202;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;120;B4_CD202_NIRRIG_REPROD00000.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;121;B4_CD202_NIRRIG_REPROD00001.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;122;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;123;B4_CD202_NIRRIG_REPROD00003.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;124;B4_CD202_NIRRIG_REPROD00004.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;125;B4_CD202_NIRRIG_REPROD00005.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;126;B4_CD202_NIRRIG_REPROD00006.asd;B4;CD202;NIRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;129;B4_EMB48_IRRIG_REPROD00000.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;130;B4_EMB48_IRRIG_REPROD00001.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;131;B4_EMB48_IRRIG_REPROD00002.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;132;B4_EMB48_IRRIG_REPROD00003.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;133;B4_EMB48_IRRIG_REPROD00004.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;134;B4_EMB48_IRRIG_REPROD00005.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;135;B4_EMB48_IRRIG_REPROD00006.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;136;B4_EMB48_IRRIG_REPROD00007.asd;B4;EMB48;IRRIG;D02M;manha;D02
svm;agrupado;todos;1;treino;137;B3_EMB48_IRRIG_REPROD00001.asd;B3;EMB48;IRRIG;D02M;manha;D02
