modelo;modo;genotipo_avaliado;fold;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;401;1939;1356;1843;1385
svm;agrupado;todos;1;127;B4_CD202_NIRRIG_REPROD00007.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.5665419773349583;True;-1.6689192225868326;-1.4530136344654645;0.8258065389780128;0.35340998113278066;0.5055725139335333
svm;agrupado;todos;1;128;B3_EMB48_IRRIG_REPROD00000.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.1649688611089513;True;-1.502191153400187;-1.4995021189523163;0.8556129309718361;0.3315507659441619;0.5250620179884379
svm;agrupado;todos;1;138;B4_EMB48_NIRRIG_REPROD00000.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.409711344419071;True;-1.6771697509114394;-1.495766835555751;0.8305905836136338;0.34672624563563115;0.482577692092219
svm;agrupado;todos;1;139;B3_EMB48_IRRIG_REPROD00002.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.1686837054568397;True;-1.502971377858454;-1.5020494698465583;0.853886370196357;0.3315301219106296;0.5246147143997236
svm;agrupado;todos;1;142;B4_EMB48_NIRRIG_REPROD00002.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.5307523231806328;True;-1.6997025744701983;-1.4884974039123018;0.8315181687220917;0.35413042751996937;0.4919392921451414
svm;agrupado;todos;1;146;B4_EMB48_NIRRIG_REPROD00004.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.8546056874533747;True;-1.7545642054910804;-1.420012715610682;0.8350892538146455;0.4094922765036583;0.5471060557887453
svm;agrupado;todos;1;152;B4_EMB48_NIRRIG_REPROD00007.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.882744670132105;True;-1.7723555621023819;-1.4128298110284887;0.834002635970138;0.415440613951031;0.5523541075414276
svm;agrupado;todos;1;158;B3_EMB48_NIRRIG_REPROD00006.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;-0.17526525659852144;False;-1.5424336194368382;-1.501291204609708;0.849286546593944;0.30103750101934573;0.49785617430083273
svm;agrupado;todos;1;159;B3_EMB48_NIRRIG_REPROD00007.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;-0.12528322763309618;False;-1.5419673345924525;-1.5018741292216693;0.8482242221197248;0.2997670160212558;0.4972178624931337
svm;agrupado;todos;1;160;B1_EMB48_IRRIG_REPROD00000.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.0651170359940911;True;-1.3939865924740733;-1.4808445381574067;0.8538666707385287;0.2675440700180257;0.4728986338538406
svm;agrupado;todos;1;161;B1_EMB48_IRRIG_REPROD00001.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.03754451035547;True;-1.3999120512534589;-1.4821515020879836;0.8542655535101628;0.2690475814648376;0.4747815644370079
svm;agrupado;todos;1;162;B1_EMB48_IRRIG_REPROD00002.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.0493499147610519;True;-1.3986499658941336;-1.4847525792063134;0.8536797870463124;0.26942012207119675;0.47530028697972854
svm;agrupado;todos;1;173;B1_EMB48_NIRRIG_REPROD00005.asd;B1;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.6114358487890332;True;-1.6522943832666854;-1.486440067808756;0.8355184331782176;0.3449871477282411;0.5251722652705505
svm;agrupado;todos;1;175;B1_EMB48_NIRRIG_REPROD00007.asd;B1;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.7686575794011081;True;-1.6664329386241916;-1.4833029958899406;0.8336827963977226;0.35050813430236183;0.5282779388912018
svm;agrupado;todos;1;186;B2_EMB48_NIRRIG_REPROD00002.asd;B2;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;-1.4085126434802038;False;-1.4846793923995147;-1.496146177915904;0.851405212782015;0.3487486627188861;0.5312513069092033
svm;agrupado;todos;1;190;B2_EMB48_NIRRIG_REPROD00006.asd;B2;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.36013248032147804;True;-1.4552135380141518;-1.4746088966223947;0.8318191669147932;0.2578261412952382;0.4522753724046329
svm;agrupado;todos;1;195;B1_BR16_IRRIG_REPROD00003.asd;B1;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;-1.2710922339161357;True;-1.5334129871538384;-1.4532880996503044;0.8650293282397886;0.35518980629085156;0.5384995826224412
svm;agrupado;todos;1;199;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;-1.1970647514866493;True;-1.4893340334258618;-1.4579145389918264;0.8520737488594919;0.3116844192084472;0.49424347829961357
svm;agrupado;todos;1;210;B2_BR16_IRRIG_REPROD00002.asd;B2;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;-0.7151992730077539;True;-1.5448123265051332;-1.3792604757885902;0.8299769815522138;0.3383349058336785;0.46625929510838876
svm;agrupado;todos;1;220;B2_BR16_NIRRIG_REPROD00004.asd;B2;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;1.3291266232290622;True;-1.5499803424353715;-1.4059639301113558;0.8218189736682193;0.28456750750898974;0.44891004984734456
svm;agrupado;todos;1;221;B2_BR16_NIRRIG_REPROD00005.asd;B2;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;1.3862341047619056;True;-1.5552545912325073;-1.408680887567948;0.8191370354394901;0.2828490782419709;0.4459758286478978
svm;agrupado;todos;1;225;B3_BR16_IRRIG_REPROD00001.asd;B3;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;-0.5704473436498261;True;-1.5169040937460359;-1.3869586981124677;0.8071170471187202;0.2918979164387058;0.42498873554913474
