genotipo;rank;banda_nm;p_valor;q_fdr
BR16;1;1560;5.170752569951943e-51;5.931641437884916e-49
BR16;2;400;3.220584092715527e-44;2.10363629750304e-43
BR16;3;719;1.12252993644953e-40;5.9033561529691946e-40
BR16;4;2039;3.221792327954002e-31;4.7848631894523225e-31
BR16;5;520;2.862075220755774e-14;3.0765808583700696e-14
CD202;1;1530;9.774719574023676e-66;1.2049362340760613e-63
CD202;2;422;1.2271374916857921e-61;2.2471955316496067e-60
CD202;3;723;8.351697358858055e-54;2.587512278401491e-53
CD202;4;899;2.367943852129103e-40;2.9487873956993264e-40
CD202;5;1949;6.349207722625099e-35;7.016285042620731e-35
CD202;6;599;2.0444077692534712e-23;2.1602680755996237e-23
EMB48;1;721;1.265446410926841e-76;5.190861177621901e-74
EMB48;2;1529;4.3619803636224065e-59;9.820440972326626e-59
EMB48;3;400;2.4351876129354144e-50;4.915915151703283e-50
EMB48;4;2330;3.165482968326556e-24;4.073027332520556e-24
EMB48;5;552;5.399094358116896e-14;6.064371592824619e-14
EMB48;6;510;5.916547867328096e-14;6.638314921165167e-14
