modelo;modo;genotipo;fold;banda_nm;componente_1;componente_2
pls_da;agrupado;todos;1;1968;0.5827995487225244;-0.18361804128575168
pls_da;agrupado;todos;1;1347;-0.5043598617994122;-0.19947340176705736
pls_da;agrupado;todos;1;1531;0.5020445953577;-0.004203254942696245
pls_da;agrupado;todos;1;1367;-0.38351461010138266;0.18154239428167188
pls_da;agrupado;todos;1;1842;0.08266549416417429;0.9452615874075417
pls_da;agrupado;todos;2;1968;0.5800266694137965;-0.18094943397382304
pls_da;agrupado;todos;2;1347;-0.5029240702971447;-0.18871377489377597
pls_da;agrupado;todos;2;1531;0.5116147825963633;-0.035434265030643085
pls_da;agrupado;todos;2;1367;-0.37059528293273564;0.19770475704856094
pls_da;agrupado;todos;2;1842;0.10745181609154845;0.9440877371367561
pls_da;agrupado;todos;3;1968;0.5856572747701663;-0.19947831527566118
pls_da;agrupado;todos;3;1347;-0.49851835892695007;-0.19536136539902574
pls_da;agrupado;todos;3;1531;0.5144192652772087;-0.03884927429636668
pls_da;agrupado;todos;3;1367;-0.35964184043449626;0.20442702314910055
pls_da;agrupado;todos;3;1842;0.12048057288254828;0.9374127504665456
pls_da;agrupado;todos;4;1968;0.57674112376563;-0.19018426557431276
pls_da;agrupado;todos;4;1347;-0.503610887099494;-0.17474484189158881
pls_da;agrupado;todos;4;1531;0.5086583934115942;-0.022114824294392887
pls_da;agrupado;todos;4;1367;-0.37444148312299075;0.21781848458487843
pls_da;agrupado;todos;4;1842;0.12167976446808886;0.9409358254842979
pls_da;agrupado;todos;5;1968;0.5615146328161763;-0.14908303327644162
pls_da;agrupado;todos;5;1347;-0.517687700263635;-0.13935146955839772
pls_da;agrupado;todos;5;1531;0.5025091684068723;-0.022946599286306147
pls_da;agrupado;todos;5;1367;-0.3852073628669288;0.24888967252195662
pls_da;agrupado;todos;5;1842;0.12570037943142076;0.9465108565748818
