modelo;modo;genotipo;fold;n_componentes
pls_da;agrupado;todos;1;2
pls_da;agrupado;todos;2;2
pls_da;agrupado;todos;3;2
pls_da;agrupado;todos;4;2
pls_da;agrupado;todos;5;2
