banda_nm;vip;vip_acima_de_1
401;1.6281807930009475;True
410;1.4741764714290497;True
420;1.3482757234375427;True
430;1.2461219773719883;True
440;1.1583948828047805;True
450;1.068347019528;True
460;0.9915267545437877;False
470;0.9288533413142566;False
480;0.8717512491028971;False
490;0.8135420843212672;False
500;0.742299212233569;False
518;0.7419822414404925;False
520;0.7897077346188351;False
530;0.9821985992606712;False
540;1.0487906086886358;True
559;1.1253863167439704;True
569;1.1052377341025885;True
579;1.0327838007263348;True
584;1.002298144589869;True
590;0.9734997313262447;False
600;0.9415550248286633;False
610;0.8753921736450248;False
621;0.8088406721001865;False
630;0.798800105024582;False
648;0.7235328365090608;False
659;0.676220400498288;False
669;0.6730317484502863;False
679;0.7082126121284925;False
686;0.7199075243425492;False
694;0.8321146099897341;False
698;1.1045452409651269;True
713;1.627943396740213;True
716;1.6460102483553272;True
735;1.139020044874169;True
742;0.9408378241115057;False
750;0.8861055321831748;False
760;0.8307394933602343;False
770;0.7869968571543243;False
776;0.768504738548605;False
786;0.7508132200554243;False
797;0.7356853930635219;False
806;0.7262162881378389;False
816;0.7145938882828853;False
826;0.7013271495560851;False
836;0.7009195528808515;False
846;0.7114696856730068;False
856;0.7313697700338294;False
866;0.7490821049696993;False
876;0.763569975134407;False
887;0.7773492735029051;False
896;0.7765420743417883;False
908;0.7783253639817295;False
917;0.7835461291543765;False
927;0.7746730101187116;False
936;0.7779947226084822;False
946;0.7741465807618295;False
965;0.7774947878107631;False
966;0.7760647655691716;False
979;0.7905227145742881;False
986;0.8077086428608488;False
1000;0.8418630771951766;False
1015;0.8646102401503427;False
1025;0.8448576726288887;False
1035;0.8279449421123773;False
1039;0.8214969662210851;False
1049;0.8222877933642952;False
1059;0.8000239236898128;False
1066;0.7953932233473322;False
1076;0.803800720542918;False
1086;0.8081357025572753;False
1105;0.821647511325728;False
1115;0.7981824692325398;False
1125;0.74539880456444;False
1134;0.6987833456815743;False
1144;0.6832869890575758;False
1155;0.7064401083295357;False
1158;0.7064577050192684;False
1166;0.7066560783629033;False
1176;0.7340127371678197;False
1186;0.7648525127546468;False
1196;0.7662624428563634;False
1206;0.7541124049516639;False
1216;0.7488764853472997;False
1226;0.7329751767330032;False
1244;0.7280435746951577;False
1255;0.7159223142319163;False
1264;0.7119052776123832;False
1275;0.7119922072878146;False
1279;0.7163583487427284;False
1292;0.7322437494921072;False
1296;0.7357502815317887;False
1306;0.7620458593960456;False
1317;0.8477455676246003;False
1335;1.1080499187377784;True
1342;1.2748801485227108;True
1346;1.3940812585020623;True
1356;1.7434393100180496;True
1366;2.007695283909261;True
1385;1.77043146886116;True
1395;1.4093984602594185;True
1405;1.226281720313462;True
1415;1.1082737009450392;True
1425;0.9497839747780271;False
1435;0.8201841556913465;False
1445;0.7786494742333553;False
1454;0.7879658097209014;False
1465;0.8200961287824732;False
1475;0.8535775682309662;False
1485;0.8830154095803705;False
1495;0.9088941694887374;False
1505;0.931088731392525;False
1510;0.9410005929598109;False
1516;0.9514647603413312;False
1526;0.9656923543401543;False
1536;0.9754491179996448;False
1546;0.9864077409845065;False
1556;1.0141797217244408;True
1566;1.0410838437671588;True
1576;1.0589928068065153;True
1586;1.0447397593135608;True
1596;1.0200528077318618;True
1606;0.9799583785967088;False
1616;0.922825895960963;False
1626;0.8860150630592442;False
1636;0.8601868798007365;False
1646;0.8584049667981171;False
1656;0.877360762444822;False
1666;0.9322545261298687;False
1676;1.0111258100917377;True
1686;1.0244767059263606;True
1696;1.0023154617587364;True
1706;1.0542844009346588;True
1725;1.1803607972882013;True
1735;1.0922909124980835;True
1745;1.0348974177817536;True
1755;1.0382544885865934;True
1765;1.0459602789418396;True
1775;1.083244557022622;True
1785;1.1313970468824588;True
1794;1.1932582566464398;True
1796;1.211020758618558;True
1807;1.3095269691620155;True
1817;1.4166081077239046;True
1831;1.5684767518883151;True
1843;1.6379151392365652;True
1853;1.5146786450247218;True
1863;1.3415401957047615;True
1873;1.1544560463951705;True
1883;0.9984941651124204;False
1893;0.96278465672509;False
1898;1.091099490330115;True
1908;1.4802039158405507;True
1923;1.7390406074042992;True
1929;1.768356499159359;True
1939;1.7497748345001498;True
1953;1.6194794044520577;True
1963;1.4944158721872036;True
1973;1.374555408867396;True
1983;1.2713953541502077;True
1989;1.2190720689358376;True
1994;1.1798746006870862;True
2004;1.1115966898462648;True
2015;1.043830130491921;True
2024;0.990637345042947;False
2034;0.9294855344588258;False
2044;0.8694792476034443;False
2054;0.8120334308294337;False
2064;0.7603670231728635;False
2074;0.7408263296144919;False
2084;0.7515892269502831;False
2094;0.7769426863804042;False
2104;0.7985331780891882;False
2114;0.8263658584370235;False
2124;0.8259116109033342;False
2134;0.8032225795321146;False
2144;0.7905257406582044;False
2154;0.7927439033705529;False
2164;0.8206724313201814;False
2174;0.8600225785188884;False
2193;0.9351070833587097;False
2203;0.9742446783989814;False
2213;1.013333807011866;True
2219;1.0329965299727266;True
2227;1.0626829477197413;True
2234;1.0869111732058225;True
2244;1.1081817233138338;True
2254;1.104611129590472;True
2273;0.9659459249120202;False
2283;0.9613442225447012;False
2292;0.9344845351267852;False
2303;0.9066932824910023;False
2313;0.8789894422681973;False
2323;0.8340533996244763;False
2333;0.7896111686578701;False
2343;0.7569329886125676;False
2353;0.7342114265686093;False
2363;0.7100318228892517;False
2373;0.7060845100936632;False
2383;0.7133790652259133;False
2393;0.7338753867778286;False
2403;0.7602564262707212;False
2413;0.8182939159103502;False
2423;0.8895134638462002;False
2429;0.9541723289042412;False
2439;1.0812215929366171;True
2447;1.1993120825159878;True
