posicao;banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos;rank_vip;rank_boruta;score
1;401;1.6281807930009475;True;100;100;1.0;0.03662272400128215;confirmada;True;2.095635640258471e-48;1.6949998137187125e-06;True;3;9.0;1.0;5.0
2;1939;1.7497748345001498;True;100;100;1.0;0.018034269282814375;confirmada;True;8.389312367478559e-32;1.2560026660496947e-08;True;3;4.0;7.0;5.5
3;1356;1.7434393100180496;True;100;100;1.0;0.013067231190852372;confirmada;True;2.4609789597328567e-26;1.782610951845665e-06;True;3;5.0;11.0;8.0
4;1843;1.6379151392365652;True;100;100;1.0;0.010945313827042;confirmada;True;1.090032608291793e-19;1.1609409174133386e-05;True;3;8.0;15.0;11.5
5;1385;1.77043146886116;True;100;100;1.0;0.008128698404666228;confirmada;True;2.2006613246979703e-15;1.0411263445438222e-06;True;3;2.0;25.0;13.5
