banda_nm;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta
1807;100;100;1.0;0.0027251522195521904;confirmada;True
1817;100;100;1.0;0.0028946091038698973;confirmada;True
1831;100;100;1.0;0.009094248918285534;confirmada;True
1843;100;100;1.0;0.010945313827042;confirmada;True
1853;100;100;1.0;0.01047407589564831;confirmada;True
1863;100;100;1.0;0.008116597924388541;confirmada;True
1873;100;100;1.0;0.006423688035706168;confirmada;True
1883;100;100;1.0;0.006348056953056027;confirmada;True
1893;100;100;1.0;0.005183694519674484;confirmada;True
1898;100;100;1.0;0.004787649684729669;confirmada;True
1908;100;100;1.0;0.00622497824377314;confirmada;True
1923;100;100;1.0;0.009769307486480227;confirmada;True
1929;100;100;1.0;0.01228475232930916;confirmada;True
1939;100;100;1.0;0.018034269282814375;confirmada;True
1953;100;100;1.0;0.022704425788463295;confirmada;True
1963;100;100;1.0;0.020881772928267327;confirmada;True
1973;100;100;1.0;0.016679455393061416;confirmada;True
1983;100;100;1.0;0.011588122874024163;confirmada;True
1989;100;100;1.0;0.009887439214760384;confirmada;True
1994;100;100;1.0;0.00895297863080708;confirmada;True
2004;100;100;1.0;0.008507028205843233;confirmada;True
2015;100;100;1.0;0.008609472471044375;confirmada;True
2024;100;100;1.0;0.00932241505953108;confirmada;True
2034;100;100;1.0;0.008881122367502547;confirmada;True
2044;100;100;1.0;0.006481098203993484;confirmada;True
2054;100;100;1.0;0.0048091939958585074;confirmada;True
2064;100;100;1.0;0.004166324668050943;confirmada;True
2074;100;100;1.0;0.003439709007333859;confirmada;True
2084;100;100;1.0;0.00291707979946409;confirmada;True
2094;100;100;1.0;0.0024636049767782333;confirmada;True
2104;100;100;1.0;0.002060528759035723;confirmada;True
2114;100;99;0.99;0.001881360725808649;confirmada;True
2124;100;100;1.0;0.0018618996567156343;confirmada;True
2134;100;99;0.99;0.0018887766816845938;confirmada;True
2144;100;99;0.99;0.0018296859427394834;confirmada;True
2154;100;97;0.97;0.0020695081654014636;confirmada;True
2164;100;100;1.0;0.0024714905651256705;confirmada;True
2174;100;100;1.0;0.00263767952865598;confirmada;True
2193;100;100;1.0;0.0026959955039174395;confirmada;True
2203;100;100;1.0;0.0030478046248738344;confirmada;True
2213;100;100;1.0;0.0033187123410665033;confirmada;True
2219;100;100;1.0;0.0034503016337067245;confirmada;True
2227;100;100;1.0;0.0038777631569765895;confirmada;True
2234;100;100;1.0;0.004463098305247904;confirmada;True
2244;100;100;1.0;0.003960237698179697;confirmada;True
2254;100;100;1.0;0.0039519400772560906;confirmada;True
2273;100;100;1.0;0.002715875954692185;confirmada;True
