n_componentes;acuracia_cv;desvio_cv
1;0.7227153361344537;0.08331311461389992
2;0.8902048319327731;0.02736404881985056
3;0.9116421568627452;0.03188552011014301
4;0.9095063025210084;0.023527763912468785
5;0.9161414565826331;0.024211938027749392
6;0.9132265406162465;0.021910185367923985
7;0.9243259803921569;0.028753719864186244
8;0.928046218487395;0.0252701926968895
9;0.9332195378151261;0.024442251031934936
10;0.9354604341736695;0.020002060997047603
11;0.9250525210084034;0.027920036116718436
12;0.9257878151260505;0.028140474428997538
13;0.932405462184874;0.0397560983214578
14;0.9242471988795518;0.034854578396295154
15;0.9301908263305322;0.028391958515707555
16;0.9331582633053221;0.03120817588167325
17;0.9346376050420169;0.03511307216961794
18;0.9391018907563026;0.03703269817806504
19;0.9302170868347338;0.0285219004693814
20;0.9294555322128851;0.0324559753499071
