fold;bloco_teste;n_teste;accuracy;balanced_accuracy;precision;recall;f1;auc_roc
1;B1;20;1.0;1.0;1.0;1.0;1.0;1.0
2;B4;16;0.75;0.75;1.0;0.5;0.6666666666666666;1.0
3;B3;16;1.0;1.0;1.0;1.0;1.0;1.0
4;B2;16;0.75;0.75;0.6666666666666666;1.0;0.8;1.0
