seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;144;48;0.8541666666666666;0.8679245283018868;0.7083333333333333;0.861111111111111
42;2;144;48;0.8958333333333334;0.8979591836734694;0.7916666666666666;0.9427083333333334
42;3;144;48;0.9166666666666666;0.9230769230769231;0.8333333333333334;0.9305555555555555
42;4;144;48;0.8541666666666666;0.8679245283018868;0.7083333333333333;0.9305555555555556
43;1;144;48;0.8333333333333334;0.8571428571428571;0.6666666666666667;0.8732638888888888
43;2;144;48;0.9166666666666666;0.9166666666666666;0.8333333333333334;0.9565972222222222
43;3;144;48;0.9166666666666666;0.92;0.8333333333333334;0.953125
43;4;144;48;0.9166666666666666;0.9230769230769231;0.8333333333333334;0.873263888888889
44;1;144;48;0.8958333333333334;0.8936170212765957;0.7916666666666666;0.920138888888889
44;2;144;48;0.7291666666666666;0.7796610169491526;0.45833333333333337;0.8923611111111112
44;3;144;48;0.8958333333333334;0.8979591836734694;0.7916666666666666;0.923611111111111
44;4;144;48;0.8958333333333334;0.9056603773584906;0.7916666666666666;0.9045138888888888
45;1;144;48;0.8333333333333334;0.8461538461538461;0.6666666666666667;0.9340277777777778
45;2;144;48;0.875;0.8888888888888888;0.75;0.953125
45;3;144;48;0.9583333333333334;0.96;0.9166666666666666;0.9861111111111112
45;4;144;48;0.8541666666666666;0.8627450980392157;0.7083333333333333;0.921875
46;1;144;48;0.9166666666666666;0.9230769230769231;0.8333333333333334;0.9270833333333334
46;2;144;48;0.7916666666666666;0.8148148148148148;0.5833333333333333;0.8697916666666667
46;3;144;48;0.8541666666666666;0.8679245283018868;0.7083333333333333;0.9305555555555556
46;4;144;48;0.9375;0.9387755102040817;0.875;0.9513888888888888
