bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;42.1151383699957;-0.4984717033290309
B2;BR16;IRRIG;23/02;38.13333333333333;42.80228282430747;-4.668949490974136
B3;BR16;IRRIG;23/02;41.199999999999996;40.90838905542829;0.29161094457170833
B4;BR16;IRRIG;23/02;39.96666666666667;42.17742638483553;-2.210759718168859
B1;BR16;NIRRIG;23/02;42.13333333333333;42.85541722597058;-0.7220838926372437
B2;BR16;NIRRIG;23/02;40.88333333333333;41.5569401606665;-0.6736068273331668
B3;BR16;NIRRIG;23/02;37.78333333333333;39.98540211534371;-2.202068782010379
B4;BR16;NIRRIG;23/02;41.199999999999996;42.369369748420446;-1.1693697484204506
B1;EMB48;IRRIG;23/02;37.96666666666667;39.25908273814925;-1.2924160714825845
B2;EMB48;IRRIG;23/02;35.25;39.7872195091702;-4.5372195091702
B3;EMB48;IRRIG;23/02;35.449999999999996;40.01177787070048;-4.561777870700482
B4;EMB48;IRRIG;23/02;38.78;39.2299423706763;-0.44994237067629683
B1;EMB48;NIRRIG;23/02;35.699999999999996;38.066921156327716;-2.36692115632772
B2;EMB48;NIRRIG;23/02;39.84;39.72486170142256;0.11513829857744184
B3;EMB48;NIRRIG;23/02;39.949999999999996;38.50082896844157;1.4491710315584285
B4;EMB48;NIRRIG;23/02;37.63333333333333;37.53701414156608;0.09631919176725035
B1;CD202;IRRIG;23/02;38.06666666666666;39.064752523014796;-0.9980858563481334
B2;CD202;IRRIG;23/02;36.400000000000006;39.82382036919014;-3.423820369190132
B3;CD202;IRRIG;23/02;33.02;37.47035520623714;-4.450355206237134
B4;CD202;IRRIG;23/02;35.45;39.87923103169068;-4.4292310316906764
B1;CD202;NIRRIG;23/02;36.76666666666667;38.90931849846695;-2.142651831800279
B2;CD202;NIRRIG;23/02;38.43333333333333;39.50507573141986;-1.0717423980865277
B3;CD202;NIRRIG;23/02;38.61666666666667;39.50546923559783;-0.8888025689311618
B4;CD202;NIRRIG;23/02;38.95;39.070730872572966;-0.12073087257296322
B1;BR16;IRRIG;24/02;44.38333333333333;42.42858095944503;1.9547523738883044
B2;BR16;IRRIG;24/02;42.0;42.2439382808714;-0.24393828087139724
B3;BR16;IRRIG;24/02;46.01666666666667;40.937035865181336;5.079630801485337
B4;BR16;IRRIG;24/02;42.13333333333333;41.9840834824093;0.1492498509240363
B1;BR16;NIRRIG;24/02;43.475;43.802276749412364;-0.32727674941236273
B2;BR16;NIRRIG;24/02;43.76666666666666;41.4657922219419;2.300874444724755
B3;BR16;NIRRIG;24/02;40.25;39.858571042603415;0.39142895739658456
B4;BR16;NIRRIG;24/02;41.550000000000004;42.763737559449716;-1.2137375594497115
B1;EMB48;IRRIG;24/02;42.199999999999996;39.138845361600694;3.0611546383993016
B2;EMB48;IRRIG;24/02;38.1;39.424555158704266;-1.324555158704264
B3;EMB48;IRRIG;24/02;40.25;39.06910364445666;1.1808963555433394
B4;EMB48;IRRIG;24/02;40.98333333333333;39.10161966011701;1.8817136732163178
B1;EMB48;NIRRIG;24/02;36.28333333333333;38.85635284018895;-2.5730195068556156
B2;EMB48;NIRRIG;24/02;40.739999999999995;40.530475588795746;0.20952441120424936
B3;EMB48;NIRRIG;24/02;41.839999999999996;38.46006899401173;3.3799310059882686
B4;EMB48;NIRRIG;24/02;38.62;38.86124424987688;-0.24124424987688542
B1;CD202;IRRIG;24/02;40.51666666666667;39.20388655054535;1.3127801161213242
B2;CD202;IRRIG;24/02;38.85;39.057642162498155;-0.20764216249815348
B3;CD202;IRRIG;24/02;36.85;37.85351880179298;-1.0035188017929784
B4;CD202;IRRIG;24/02;39.38;39.270833475610594;0.10916652438940844
B1;CD202;NIRRIG;24/02;37.18333333333334;39.65051659610299;-2.4671832627696517
B2;CD202;NIRRIG;24/02;39.216666666666676;39.685353987010565;-0.46868732034388927
B3;CD202;NIRRIG;24/02;39.519999999999996;40.12836099437288;-0.6083609943728874
B4;CD202;NIRRIG;24/02;38.516666666666666;38.814060346424895;-0.2973936797582297
B1;BR16;IRRIG;26/02;42.699999999999996;40.32944777350113;2.370552226498866
B2;BR16;IRRIG;26/02;38.92;41.916661922400856;-2.996661922400854
B3;BR16;IRRIG;26/02;45.699999999999996;42.04208029379491;3.657919706205085
B4;BR16;IRRIG;26/02;42.88333333333333;40.10690284197527;2.776430491358063
B1;BR16;NIRRIG;26/02;44.36;41.13443081899357;3.2255691810064278
B2;BR16;NIRRIG;26/02;42.0;41.77543163285224;0.22456836714776074
B3;BR16;NIRRIG;26/02;39.26666666666667;40.358770584510204;-1.0921039178435308
B4;BR16;NIRRIG;26/02;41.519999999999996;40.62817458480766;0.8918254151923364
B1;EMB48;IRRIG;26/02;40.43333333333334;39.05827022976403;1.3750631035693104
B2;EMB48;IRRIG;26/02;36.11666666666667;38.772395044966636;-2.655728378299969
B3;EMB48;IRRIG;26/02;37.333333333333336;38.47953570517466;-1.1462023718413263
B4;EMB48;IRRIG;26/02;38.1;37.75855049873304;0.3414495012669647
B1;EMB48;NIRRIG;26/02;39.833333333333336;36.5324294650551;3.3009038682782332
B2;EMB48;NIRRIG;26/02;40.36666666666667;40.20955969034226;0.15710697632440684
B3;EMB48;NIRRIG;26/02;37.733333333333334;38.68502901224299;-0.9516956789096582
B4;EMB48;NIRRIG;26/02;38.083333333333336;39.744128759415396;-1.6607954260820605
B1;CD202;IRRIG;26/02;38.916666666666664;38.650290294758236;0.26637637190842867
B2;CD202;IRRIG;26/02;38.86666666666667;39.52593162976194;-0.6592649630952749
B3;CD202;IRRIG;26/02;36.800000000000004;37.387467326815994;-0.5874673268159896
B4;CD202;IRRIG;26/02;38.36666666666667;39.450348636503975;-1.0836819698373077
B1;CD202;NIRRIG;26/02;38.0;38.90743434574325;-0.9074343457432477
B2;CD202;NIRRIG;26/02;37.5;39.27826506862552;-1.7782650686255224
B3;CD202;NIRRIG;26/02;38.239999999999995;38.018095302961385;0.22190469703861027
B4;CD202;NIRRIG;26/02;38.879999999999995;39.20270342107791;-0.32270342107791805
B1;BR16;IRRIG;27/02;43.083333333333336;42.491755020628986;0.5915783127043497
B2;BR16;IRRIG;27/02;40.949999999999996;42.61589314797054;-1.665893147970543
B3;BR16;IRRIG;27/02;44.6;41.78789429076178;2.8121057092382244
B4;BR16;IRRIG;27/02;43.98;40.692766020287515;3.2872339797124823
B1;BR16;NIRRIG;27/02;43.81666666666667;41.58979531975351;2.226871346913157
B2;BR16;NIRRIG;27/02;42.84;42.69127728609031;0.1487227139096916
B3;BR16;NIRRIG;27/02;40.78333333333334;40.681903155797485;0.10143017753585326
B4;BR16;NIRRIG;27/02;42.06666666666666;43.22395850179219;-1.1572918351255268
B1;EMB48;IRRIG;27/02;40.92;39.880620563001266;1.0393794369987361
B2;EMB48;IRRIG;27/02;37.68333333333333;39.29424371404106;-1.610910380707729
B3;EMB48;IRRIG;27/02;38.85;39.23867342450887;-0.3886734245088661
B4;EMB48;IRRIG;27/02;39.839999999999996;41.000213953826865;-1.1602139538268688
B1;EMB48;NIRRIG;27/02;40.01666666666667;38.800802696675106;1.2158639699915668
B2;EMB48;NIRRIG;27/02;40.7;40.99277269664363;-0.29277269664362393
B3;EMB48;NIRRIG;27/02;38.483333333333334;39.16267365502842;-0.6793403216950864
B4;EMB48;NIRRIG;27/02;39.583333333333336;41.04886780369369;-1.4655344703603532
B1;CD202;IRRIG;27/02;38.68333333333333;42.22702287268274;-3.5436895393494083
B2;CD202;IRRIG;27/02;40.86666666666667;39.792368600841016;1.0742980658256513
B3;CD202;IRRIG;27/02;36.800000000000004;38.08971435893194;-1.2897143589319384
B4;CD202;IRRIG;27/02;38.61666666666666;41.78969466154387;-3.1730279948772093
