n_componentes;acuracia_cv;desvio_cv
1;0.6986607142857143;0.08289037780190686
2;0.8683035714285714;0.03536379356641711
3;0.9040178571428572;0.051822262349303136
4;0.8816964285714286;0.03536379356641709
5;0.90625;0.05263315233281964
6;0.9441964285714286;0.027789954459796297
7;0.9352678571428572;0.03303269773872484
8;0.9174107142857143;0.04823701514503197
9;0.9241071428571429;0.05522016462880799
10;0.8950892857142858;0.09706613796945937
11;0.8683035714285714;0.09178966604889326
12;0.875;0.09470180105176976
13;0.8593750000000001;0.09706613796945937
14;0.8459821428571428;0.10381264244851326
15;0.8325892857142858;0.10284826815632386
16;0.8169642857142858;0.11853498256564067
17;0.8415178571428571;0.10923825270751926
18;0.8526785714285715;0.08939725176116423
19;0.8482142857142857;0.1023870084033903
20;0.8415178571428572;0.0982903520370714
