genotipo;dia;posicao;banda_nm;importancia_gini
todos;D02;1;1963;0.03485257798069732
todos;D02;2;1913;0.02339810530995388
todos;D02;3;1363;0.0216733894554833
todos;D02;4;1953;0.02139201050520639
todos;D02;5;405;0.01941807204953165
todos;D03;1;405;0.07849094959771385
todos;D03;2;415;0.07261925907343181
todos;D03;3;1960;0.0550589296418481
todos;D03;4;1530;0.04705157579187852
todos;D03;5;1950;0.04695360728502655
todos;D04;1;1943;0.05760182274512617
todos;D04;2;405;0.05313287861067791
todos;D04;3;1963;0.051260715934404864
todos;D04;4;415;0.049633013149131516
todos;D04;5;1953;0.045422709499562515
todos;D05;1;415;0.06943016776549961
todos;D05;2;405;0.0661735785014632
todos;D05;3;1956;0.06508995453487258
todos;D05;4;1946;0.05728754722128224
todos;D05;5;1936;0.045613570858394355
todos;D06;1;750;0.11100392666110567
todos;D06;2;415;0.07815282918256747
todos;D06;3;1957;0.07097586181758408
todos;D06;4;2446;0.07061482914248873
todos;D06;5;1947;0.06899904861448507
todos;D09;1;415;0.06905354856266087
todos;D09;2;405;0.053580914886719115
todos;D09;3;1530;0.0471506740702044
todos;D09;4;1948;0.04642473283414692
todos;D09;5;425;0.0405534036887426
todos;D10;1;710;0.04839793180539402
todos;D10;2;720;0.04740977477769137
todos;D10;3;1360;0.03812095459047699
todos;D10;4;1960;0.03773271755936792
todos;D10;5;1950;0.03582403407082818
