fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.8125;0.8421052631578947;0.625;0.96875
2;48;16;0.8125;0.8421052631578947;0.625;0.96875
3;48;16;0.875;0.8888888888888888;0.75;0.96875
4;48;16;1.0;1.0;1.0;1.0
