dia;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D06;1;748;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;36;1.4958189844235514;True;1.0
D06;2;738;5.6600257038351806e-11;2.1658046116727527e-10;0.6763647642679901;-0.953125;True;35;1.4738484490501635;True;0.953125
D06;3;1928;1.3122092862393549e-11;6.796316277972011e-11;0.7225186104218363;0.984375;True;155;1.468338237887913;True;0.984375
D06;4;1939;9.041260826253434e-12;6.328882578377402e-11;0.7342897022332507;0.9921875;True;156;1.4522233651626026;True;0.9921875
D06;5;1917;1.5791721092992038e-11;7.620898814523923e-11;0.716667959057072;0.98046875;True;154;1.4397335562923597;True;0.98046875
