modelo;modo;genotipo;fold;iteracoes_usadas;iteracoes_maximas;classe_positiva
gradient_boosting;por_genotipo;EMB48;1;171;500;NIRRIG
gradient_boosting;por_genotipo;EMB48;2;500;500;NIRRIG
gradient_boosting;por_genotipo;EMB48;3;500;500;NIRRIG
gradient_boosting;por_genotipo;EMB48;4;139;500;NIRRIG
gradient_boosting;por_genotipo;EMB48;5;234;500;NIRRIG
