fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;1.0;1.0;1.0;1.0
2;48;16;0.9375;0.9411764705882353;0.875;0.984375
3;48;16;1.0;1.0;1.0;1.0
4;48;16;1.0;1.0;1.0;1.0
