genotipo_origem;cenario;dia;posicao;banda_nm;importancia_gini;representantes_spearman
EMB48;EMB48+CD202→BR16;D03;1;1958;0.09954861998760929;206
EMB48;EMB48+CD202→BR16;D03;2;1918;0.09645428985506008;206
EMB48;EMB48+CD202→BR16;D03;3;1948;0.09013350660312516;206
EMB48;EMB48+CD202→BR16;D03;4;1938;0.07705301170013;206
EMB48;EMB48+CD202→BR16;D03;5;1908;0.04261732844507964;206
CD202;EMB48+CD202→BR16;D03;1;1936;0.08542411836529483;207
CD202;EMB48+CD202→BR16;D03;2;1986;0.07221645021645022;207
CD202;EMB48+CD202→BR16;D03;3;1966;0.06;207
CD202;EMB48+CD202→BR16;D03;4;1956;0.06;207
CD202;EMB48+CD202→BR16;D03;5;1976;0.05435821569734614;207
BR16;BR16+EMB48→CD202;D03;1;415;0.05673956317901576;206
BR16;BR16+EMB48→CD202;D03;2;2008;0.051279309753856035;206
BR16;BR16+EMB48→CD202;D03;3;1968;0.049049159564475094;206
BR16;BR16+EMB48→CD202;D03;4;1958;0.04494150284794925;206
BR16;BR16+EMB48→CD202;D03;5;405;0.0395629532817625;206
EMB48;BR16+EMB48→CD202;D03;1;1958;0.09954861998760929;206
EMB48;BR16+EMB48→CD202;D03;2;1918;0.09645428985506008;206
EMB48;BR16+EMB48→CD202;D03;3;1948;0.09013350660312516;206
EMB48;BR16+EMB48→CD202;D03;4;1938;0.07705301170013;206
EMB48;BR16+EMB48→CD202;D03;5;1908;0.04261732844507964;206
BR16;BR16+CD202→EMB48;D04;1;1956;0.052832601278328915;206
BR16;BR16+CD202→EMB48;D04;2;1946;0.0485842487214091;206
BR16;BR16+CD202→EMB48;D04;3;714;0.04826987976555688;206
BR16;BR16+CD202→EMB48;D04;4;1380;0.03760378545097547;206
BR16;BR16+CD202→EMB48;D04;5;405;0.032192573373184034;206
CD202;BR16+CD202→EMB48;D04;1;1958;0.07016300117233588;206
CD202;BR16+CD202→EMB48;D04;2;1948;0.06825443968060867;206
CD202;BR16+CD202→EMB48;D04;3;1568;0.062460422049522506;206
CD202;BR16+CD202→EMB48;D04;4;1938;0.048630266519554606;206
CD202;BR16+CD202→EMB48;D04;5;415;0.0485352139576981;206
EMB48;EMB48+CD202→BR16;D04;1;1923;0.0678819363284692;206
EMB48;EMB48+CD202→BR16;D04;2;1375;0.06599246091550022;206
EMB48;EMB48+CD202→BR16;D04;3;1943;0.060568751869845075;206
EMB48;EMB48+CD202→BR16;D04;4;715;0.05293465572730652;206
EMB48;EMB48+CD202→BR16;D04;5;1953;0.048195193681690854;206
CD202;EMB48+CD202→BR16;D04;1;1958;0.07016300117233588;206
CD202;EMB48+CD202→BR16;D04;2;1948;0.06825443968060867;206
CD202;EMB48+CD202→BR16;D04;3;1568;0.062460422049522506;206
CD202;EMB48+CD202→BR16;D04;4;1938;0.048630266519554606;206
CD202;EMB48+CD202→BR16;D04;5;415;0.0485352139576981;206
BR16;BR16+EMB48→CD202;D04;1;1956;0.052832601278328915;206
