index;cenario;genotipos_origem;genotipo_teste;accuracy_mean;accuracy_std;accuracy_var;f1_mean;f1_std;f1_var;kappa_mean;kappa_std;kappa_var;auc_roc_mean;auc_roc_std;auc_roc_var
0;BR16+CD202→EMB48;BR16+CD202;EMB48;0.790625;0.16414782445119042;0.026944508272058826;0.7747519098774535;0.1783780176333493;0.031818717174803474;0.58125;0.32829564890238083;0.1077780330882353;0.84228515625;0.1809676828800969;0.03274930224699132
1;BR16+EMB48→CD202;BR16+EMB48;CD202;0.7177783613445378;0.2118856648934782;0.04489553498735134;0.714110469746656;0.2387808125852345;0.05701627645886488;0.43551134239441397;0.4237370640652384;0.17955309946262799;0.8840928819444445;0.2062744215151824;0.042549136971423145
2;EMB48+CD202→BR16;EMB48+CD202;BR16;0.7133928571428572;0.18653792919500672;0.03479639902836135;0.6322746611273108;0.31384222049554866;0.0984969393655766;0.42678571428571427;0.37307585839001345;0.1391855961134454;0.8091796875;0.14787041489611147;0.021865659601548147
