index;cenario;dia;genotipos_origem;genotipo_teste;accuracy_mean;accuracy_std;accuracy_var;f1_mean;f1_std;f1_var;kappa_mean;kappa_std;kappa_var;auc_roc_mean;auc_roc_std;auc_roc_var
0;BR16+CD202→EMB48;D02;BR16+CD202;EMB48;0.453125;0.0;0.0;0.42622950819672123;0.0;0.0;-0.09375;0.0;0.0;0.430859375;0.00919084884957226;8.447170257568372e-05
1;BR16+CD202→EMB48;D03;BR16+CD202;EMB48;0.9375;0.0;0.0;0.9333333333333333;0.0;0.0;0.875;0.0;0.0;0.98447265625;0.00021836601342772316;4.7683715820316566e-08
2;BR16+CD202→EMB48;D04;BR16+CD202;EMB48;0.765625;0.0;0.0;0.6938775510204082;0.0;0.0;0.53125;0.0;0.0;0.8978515625;0.008627530376388576;7.443428039550762e-05
3;BR16+CD202→EMB48;D05;BR16+CD202;EMB48;0.9375;0.0;0.0;0.9411764705882353;0.0;0.0;0.875;0.0;0.0;0.90546875;0.008907620508587002;7.934570312499977e-05
4;BR16+CD202→EMB48;D06;BR16+CD202;EMB48;0.9375;0.0;0.0;0.9411764705882353;0.0;0.0;0.875;0.0;0.0;1.0;0.0;0.0
5;BR16+CD202→EMB48;D09;BR16+CD202;EMB48;0.734375;0.0;0.0;0.6909090909090909;0.0;0.0;0.46875;0.0;0.0;0.81806640625;0.012398883006331152;0.0001537322998046874
6;BR16+CD202→EMB48;D10;BR16+CD202;EMB48;0.76875;0.020372507516258284;0.00041503906250000026;0.7965609445061499;0.01972186064928558;0.00038895178746983913;0.5375;0.040745015032516554;0.0016601562499999997;0.85927734375;0.008953006550536258;8.015632629394516e-05
7;BR16+EMB48→CD202;D02;BR16+EMB48;CD202;0.334375;0.008558164961018222;7.324218750000001e-05;0.19611353007579424;0.014679526370546947;0.00021548849446358323;-0.33125;0.017116329922036443;0.00029296875000000004;0.39599609375;0.02135916550595645;0.00045621395111083984
8;BR16+EMB48→CD202;D03;BR16+EMB48;CD202;0.89375;0.020372507516258277;0.00041503906250000004;0.8806569316335843;0.02533495771422133;0.0006418600823813828;0.7875;0.040745015032516554;0.0016601562499999997;0.973828125;0.0017469281074217018;3.051757812499969e-06
9;BR16+EMB48→CD202;D04;BR16+EMB48;CD202;0.659375;0.017116329922036433;0.0002929687499999997;0.7460190170695383;0.0096218830705456;9.258063382325202e-05;0.31875;0.03423265984407287;0.0011718749999999995;0.96005859375;0.0028969525340217313;8.39233398437493e-06
10;BR16+EMB48→CD202;D05;BR16+EMB48;CD202;0.7625;0.006987712429686846;4.882812500000004e-05;0.6884353741496598;0.0121690774285703;0.00014808644546253913;0.525;0.013975424859373684;0.00019531249999999996;1.0;0.0;0.0
11;BR16+EMB48→CD202;D06;BR16+EMB48;CD202;0.9375;0.0;0.0;0.9333333333333333;0.0;0.0;0.875;0.0;0.0;1.0;0.0;0.0
12;BR16+EMB48→CD202;D09;BR16+EMB48;CD202;0.9088235294117647;0.024164230478169114;0.0005839100346020772;0.9045492372226349;0.02758372829661663;0.0007608620667415689;0.8173293967608977;0.048909374301214795;0.0023921268945363305;0.9837673611111111;0.003828311991527728;1.4655972704475e-05
13;BR16+EMB48→CD202;D10;BR16+EMB48;CD202;0.528125;0.006987712429686854;4.882812500000015e-05;0.6496658647420477;0.0033472281940654957;1.120393658314696e-05;0.05625;0.013975424859373685;0.0001953125;0.875;0.0;0.0
14;EMB48+CD202→BR16;D02;EMB48+CD202;BR16;0.609375;0.03827327723098715;0.0014648437499999991;0.4504912959381045;0.0815192943945291;0.006645395358581903;0.21875;0.07654655446197431;0.005859375;0.63408203125;0.008433282999283013;7.112026214599589e-05
15;EMB48+CD202→BR16;D03;EMB48+CD202;BR16;0.6875;0.0;0.0;0.7619047619047619;0.0;0.0;0.375;0.0;0.0;0.690625;0.006987712429686838;4.8828124999999935e-05
16;EMB48+CD202→BR16;D04;EMB48+CD202;BR16;0.828125;0.0;0.0;0.8533333333333333;0.0;0.0;0.65625;0.0;0.0;0.9875;0.010418828104203526;0.00010855197906494123
17;EMB48+CD202→BR16;D05;EMB48+CD202;BR16;0.875;0.0;0.0;0.888888888888889;0.0;0.0;0.75;0.0;0.0;0.9109375;0.010481568644530261;0.00010986328124999993
18;EMB48+CD202→BR16;D06;EMB48+CD202;BR16;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
19;EMB48+CD202→BR16;D09;EMB48+CD202;BR16;0.5625;0.0;0.0;0.391304347826087;0.0;0.0;0.125;0.0;0.0;0.78896484375;0.005656480647490073;3.199577331542971e-05
20;EMB48+CD202→BR16;D10;EMB48+CD202;BR16;0.43125;0.013975424859373692;0.00019531250000000017;0.08;0.044721359549995794;0.002;-0.1375;0.027950849718747367;0.0007812499999999998;0.6521484375;0.007345347129352271;5.395412445068366e-05
