modelo;modo;genotipo;fold;real;predito;n
random_forest;agrupado;todos;1;IRRIG;IRRIG;123
random_forest;agrupado;todos;1;NIRRIG;IRRIG;6
random_forest;agrupado;todos;1;IRRIG;NIRRIG;12
random_forest;agrupado;todos;1;NIRRIG;NIRRIG;129
random_forest;agrupado;todos;2;IRRIG;IRRIG;133
random_forest;agrupado;todos;2;NIRRIG;IRRIG;11
random_forest;agrupado;todos;2;IRRIG;NIRRIG;3
random_forest;agrupado;todos;2;NIRRIG;NIRRIG;123
random_forest;agrupado;todos;3;IRRIG;IRRIG;131
random_forest;agrupado;todos;3;NIRRIG;IRRIG;4
random_forest;agrupado;todos;3;IRRIG;NIRRIG;4
random_forest;agrupado;todos;3;NIRRIG;NIRRIG;131
random_forest;agrupado;todos;4;IRRIG;IRRIG;135
random_forest;agrupado;todos;4;NIRRIG;IRRIG;3
random_forest;agrupado;todos;4;IRRIG;NIRRIG;0
random_forest;agrupado;todos;4;NIRRIG;NIRRIG;131
random_forest;agrupado;todos;5;IRRIG;IRRIG;128
random_forest;agrupado;todos;5;NIRRIG;IRRIG;3
random_forest;agrupado;todos;5;IRRIG;NIRRIG;7
random_forest;agrupado;todos;5;NIRRIG;NIRRIG;131
