data_yield;coleta_espectral;n;bandas_iniciais;representantes_spearman;bandas_vip_ge_1;componentes;r2_ajuste;rmse_ajuste;r2_cv_bloco;rmse_cv_bloco
23/02;D02M;24;2151;218;35;2;0.38075344991075943;0.04243347727471834;0.13615903598857637;0.05011799883017506
02/03;D09M;24;2151;217;119;1;0.517213701443259;0.0503786707977735;0.4853795807607588;0.05201310060925787
03/03;D10M;24;2151;216;49;6;0.7624138690712134;0.031281098889333205;0.18274089019127782;0.058016475751033886
