n_componentes;rmse_cv_bloco;r2_cv_bloco
1;0.05201310060925787;0.4853795807607588
2;0.057308114719309314;0.3752679740817533
3;0.0635185056811932;0.23252882743291003
4;0.06950518891093271;0.08104132283547782
5;0.06396287335967311;0.22175299716294794
6;0.06477106278296178;0.20196199721337538
