data_yield;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_yield
23/02;D02M;363;2.7507992532644647;1.7453211458125029;0.5762122336693594
23/02;D02M;368;2.3811751119820865;1.558419507585396;0.5275059920308928
23/02;D02M;383;2.4023211377737406;1.4797271220202652;0.523592097613516
23/02;D02M;390;2.3022080454781335;1.4095833098153423;0.5022831168966868
23/02;D02M;351;2.1412721044795746;1.3513562457800605;0.4274842458090417
23/02;D02M;352;2.1452453023388713;1.3462823970632705;0.4313981402264185
23/02;D02M;399;2.108071035874667;1.2738529192337058;0.45923027830554225
23/02;D02M;713;1.204233380052364;1.1210767774695367;-0.26527506606664847
23/02;D02M;411;1.8128185266663221;1.1150387869400653;0.42270059707669233
23/02;D02M;720;1.1076277069882088;1.0717974059023265;-0.29006306404336807
23/02;D02M;526;1.0205720263948577;0.985693955363093;-0.21308980716829137
23/02;D02M;516;1.0453997296189124;0.9814574760314223;-0.11306806094644033
23/02;D02M;423;1.6149624786760919;0.9810351186227553;0.36225267218609536
23/02;D02M;697;1.0595984736858133;0.9769413173057284;-0.23570341935757944
23/02;D02M;583;1.1043749894947805;0.968386913042571;-0.18438791477419497
23/02;D02M;591;1.1347509736492627;0.9650079377135836;-0.18482279193168133
23/02;D02M;529;1.010679296469079;0.9632995743454066;-0.2100456670658872
23/02;D02M;598;1.1474897273013522;0.9566714200769963;-0.17786475741190036
23/02;D02M;355;1.5693751272830572;0.9480424254521655;0.3731246011232531
23/02;D02M;430;1.5412356137559822;0.9300529949591023;0.3244183594847864
23/02;D02M;571;1.0081697679646258;0.928311479136762;-0.2143944386407503
23/02;D02M;608;1.1459638640490097;0.9081142458717324;-0.1021961320092826
23/02;D02M;618;1.1944125404270585;0.8526560714852846;-0.05088062742589814
23/02;D02M;443;1.461535903879697;0.8516446634906957;0.31702544780751923
23/02;D02M;635;1.200229507512581;0.7793275428171649;-0.041748207118685654
23/02;D02M;638;1.2207125912262133;0.7494105805734615;-0.04305283859114459
23/02;D02M;453;1.3897673109938946;0.7377191676797217;0.3070232731853341
23/02;D02M;458;1.3553535876024787;0.7066071243013361;0.25962166301932643
23/02;D02M;469;1.3560234061254928;0.6595049876781054;0.21700370158566815
23/02;D02M;478;1.3199580963423858;0.6237070866248602;0.2074364041209694
23/02;D02M;492;1.29555095678454;0.48559475517118317;0.16307893405736584
23/02;D02M;498;1.2199084194315186;0.4249959149558512;0.09567297464698797
23/02;D02M;657;1.184360556387732;0.41715247429267777;0.09045444875715226
23/02;D02M;667;1.154751116977485;0.4164413054779834;0.14003044471059148
23/02;D02M;671;1.1129276940440973;0.4143972186716925;0.14003044471059148
