modelo;modo;genotipo;fold;banda_nm;importancia_media;importancia_desvio
svm;por_genotipo;CD202;1;1531;0.2684981684981685;0.032805873893856995
svm;por_genotipo;CD202;1;1968;0.15860805860805863;0.034128895300783224
svm;por_genotipo;CD202;1;1842;0.10329670329670333;0.029431955203810502
svm;por_genotipo;CD202;1;1367;0.07582417582417583;0.022583241966004912
svm;por_genotipo;CD202;1;1347;0.05164835164835165;0.013651754691270496
svm;por_genotipo;CD202;2;1531;0.18571428571428578;0.032019345679853775
svm;por_genotipo;CD202;2;1968;0.1622710622710623;0.030119157598053784
svm;por_genotipo;CD202;2;1842;0.09743589743589748;0.021182171860514236
svm;por_genotipo;CD202;2;1367;0.031135531135531132;0.01773816851692783
svm;por_genotipo;CD202;2;1347;0.0018315018315018287;0.014210377099832104
svm;por_genotipo;CD202;3;1531;0.24074074074074078;0.03957940742931124
svm;por_genotipo;CD202;3;1968;0.09111111111111117;0.03225413489937369
svm;por_genotipo;CD202;3;1842;0.044444444444444516;0.01283000598199167
svm;por_genotipo;CD202;3;1367;0.028518518518518575;0.015630331737784595
svm;por_genotipo;CD202;3;1347;0.010000000000000049;0.011949826522149418
svm;por_genotipo;CD202;4;1531;0.21222222222222223;0.03852742062372844
svm;por_genotipo;CD202;4;1968;0.10185185185185183;0.02782711667594345
svm;por_genotipo;CD202;4;1842;0.08111111111111108;0.022434174401344893
svm;por_genotipo;CD202;4;1367;0.03999999999999999;0.025915341754868006
svm;por_genotipo;CD202;4;1347;-0.00851851851851854;0.01272802983514043
svm;por_genotipo;CD202;5;1531;0.21814814814814817;0.044024248213081665
svm;por_genotipo;CD202;5;1968;0.12851851851851853;0.031776396413039476
svm;por_genotipo;CD202;5;1367;0.07333333333333338;0.02158341079160514
svm;por_genotipo;CD202;5;1842;0.061851851851851866;0.02082324858795645
svm;por_genotipo;CD202;5;1347;-0.0007407407407407381;0.011086392257107964
