metrica;media;desvio
accuracy;0.875;0.14433756729740643
balanced_accuracy;0.875;0.14433756729740643
precision;0.9166666666666666;0.16666666666666669
recall;0.875;0.25
f1;0.8666666666666666;0.16329931618554522
auc_roc;1.0;0.0
