dia;posicao_dia;posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
D03;1;1;1958;0.0;0.0;0.1064683957031009;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
D03;2;2;1918;0.0;0.0;0.0905618601709356;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
D03;3;3;1948;0.0;0.0;0.0841375204472829;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
D03;4;4;1938;0.0;0.0;0.0746980699612278;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
D03;5;5;415;0.0;0.0;0.0512156261346801;2.7407301401734215e-11;5.006847391212819e-10;0.6992555831265509;-0.96875;True;0.96875
D04;1;1;1923;0.03125;0.0541265877365274;0.0728678672278608;8.854639676881703e-11;1.2475974605404349e-08;0.6622470145781638;0.943359375;True;0.943359375
D04;2;2;1943;0.0208333333333333;0.0607390822379718;0.0549960013382822;2.5456520062152733e-10;1.83706303464482e-08;0.6289576225186104;0.919921875;True;0.919921875
D04;3;3;1375;0.015625;0.0172740874497677;0.0781448935150957;5.194701821703936e-09;1.6911640375102816e-07;0.534114260235732;-0.849609375;True;0.849609375
D04;4;4;1933;0.0104166666666666;0.0429490169335172;0.012882296988824;1.0577309909764451e-10;1.2475974605404349e-08;0.6566406250000001;0.939453125;True;0.939453125
D04;5;5;705;0.0052083333333333;0.0090210979560879;0.0142955439102773;2.4417887923868625e-06;3.2948084297272725e-05;0.3421244959677419;0.685546875;True;0.685546875
D05;1;1;425;0.0;0.0;0.0730175716397484;2.7407301401734215e-11;1.0095774247855356e-09;0.6992555831265509;-0.96875;True;0.96875
D05;2;2;1959;0.0;0.0;0.0677598881437693;2.7407301401734215e-11;1.0095774247855356e-09;0.6992555831265509;0.96875;True;0.96875
D05;3;3;1969;0.0;0.0;0.0550370319044672;2.7407301401734215e-11;1.0095774247855356e-09;0.6992555831265509;0.96875;True;0.96875
D05;4;4;1979;0.0;0.0;0.047657125661612;3.289005542750451e-11;1.0378077489509498e-09;0.6934979838709678;0.96484375;True;0.96484375
D05;5;5;435;0.0;0.0;0.0451966121125047;6.773130231199793e-11;1.780985910793689e-09;0.6707002171215881;-0.94921875;True;0.94921875
D06;1;1;779;0.0;0.0;0.0606177606177606;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;1.0
D06;2;2;425;0.0;0.0;0.06;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;1.0
D06;3;3;749;0.0;0.0;0.0511764705882352;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;1.0
D06;4;4;1949;0.0;0.0;0.0487774493705528;7.496890411186199e-12;6.328882578377402e-11;0.7402101426799007;0.99609375;True;0.99609375
D06;5;5;1939;0.0;0.0;0.0481970541970541;9.041260826253434e-12;6.328882578377402e-11;0.7342897022332507;0.9921875;True;0.9921875
D09;1;1;405;0.0208333333333333;0.0360843918243516;0.0396015250698434;1.65189624758704e-09;1.3559556900098416e-07;0.5701021634615385;-0.876953125;True;0.876953125
D09;2;2;721;0.015625;0.0270632938682637;0.0623465402246413;1.1832237171156026e-09;1.3559556900098416e-07;0.5805937887717122;0.884765625;True;0.884765625
D09;3;3;711;0.015625;0.0270632938682637;0.0498057224243921;5.630269350745034e-09;1.7765665289812406e-07;0.5315873138957816;0.84765625;True;0.84765625
D09;4;4;1928;0.015625;0.0172740874497677;0.0011890218156228;2.942002935189199e-09;1.3641764502158844e-07;0.5519657258064516;0.86328125;True;0.86328125
D09;5;5;1938;0.0104166666666666;0.0180421959121758;0.0343979598180492;1.9497641198802688e-09;1.3559556900098416e-07;0.5648912453473945;0.873046875;True;0.873046875
D10;1;1;1355;0.0364583333333333;0.037194939731994;0.0403931557726436;9.041260826253434e-12;7.726510814435745e-10;0.7342897022332507;-0.9921875;True;0.9921875
D10;2;2;715;0.015625;0.0270632938682637;0.0964499572783809;6.211923275036763e-12;6.066978398619239e-10;0.7461538461538462;1.0;True;1.0
D10;3;3;725;0.015625;0.0270632938682637;0.0830653793704651;6.211923275036763e-12;6.066978398619239e-10;0.7461538461538462;1.0;True;1.0
D10;4;4;1365;0.015625;0.0270632938682637;0.070241513084387;1.7953490226187587e-10;8.563397314862963e-09;0.6399610344292804;-0.927734375;True;0.927734375
D10;5;5;705;0.015625;0.0270632938682637;0.0513536862108157;6.192161239458065e-11;3.432465595169863e-09;0.6735295828163772;0.951171875;True;0.951171875
