fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.9375;0.9411764705882353;0.875;0.953125
2;48;16;0.75;0.8;0.5;0.9375
3;48;16;0.9375;0.9411764705882353;0.875;0.953125
4;48;16;0.875;0.8888888888888888;0.75;1.0
