fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.57
1;NIRRIG;1;1;0.96
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.25
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.99
1;IRRIG;0;0;0.01
1;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;NIRRIG;1;1;0.81
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.22
2;IRRIG;0;0;0.18
2;NIRRIG;1;1;0.99
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.02
2;NIRRIG;1;1;0.88
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.14
3;NIRRIG;1;1;0.89
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.02
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.08
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.98
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.99
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.98
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.99
4;IRRIG;0;0;0.35
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.99
4;NIRRIG;1;1;0.99
4;NIRRIG;1;1;0.99
