modelo;modo;genotipo;fold;kernel;C;gamma;n_support_IRRIG;n_support_NIRRIG
svm;por_genotipo;EMB48;1;rbf;1.0;scale;91;97
svm;por_genotipo;EMB48;2;rbf;1.0;scale;93;97
svm;por_genotipo;EMB48;3;rbf;1.0;scale;89;91
svm;por_genotipo;EMB48;4;rbf;1.0;scale;84;86
svm;por_genotipo;EMB48;5;rbf;1.0;scale;93;95
