modelo;modo;genotipo;fold;classe;precision;recall;f1-score;support
svm;por_genotipo;EMB48;1;IRRIG;0.9777777777777777;0.9565217391304348;0.967032967032967;46.0
svm;por_genotipo;EMB48;1;NIRRIG;0.9555555555555556;0.9772727272727273;0.9662921348314607;44.0
svm;por_genotipo;EMB48;1;accuracy;0.9666666666666667;0.9666666666666667;0.9666666666666667;0.9666666666666667
svm;por_genotipo;EMB48;1;macro avg;0.9666666666666667;0.966897233201581;0.9666625509322139;90.0
svm;por_genotipo;EMB48;1;weighted avg;0.9669135802469134;0.9666666666666667;0.9666707824011195;90.0
svm;por_genotipo;EMB48;2;IRRIG;0.9772727272727273;0.9555555555555556;0.9662921348314607;45.0
svm;por_genotipo;EMB48;2;NIRRIG;0.9565217391304348;0.9777777777777777;0.967032967032967;45.0
svm;por_genotipo;EMB48;2;accuracy;0.9666666666666667;0.9666666666666667;0.9666666666666667;0.9666666666666667
svm;por_genotipo;EMB48;2;macro avg;0.966897233201581;0.9666666666666667;0.9666625509322139;90.0
svm;por_genotipo;EMB48;2;weighted avg;0.966897233201581;0.9666666666666667;0.9666625509322139;90.0
svm;por_genotipo;EMB48;3;IRRIG;0.9534883720930233;0.9111111111111111;0.9318181818181818;45.0
svm;por_genotipo;EMB48;3;NIRRIG;0.9148936170212766;0.9555555555555556;0.9347826086956522;45.0
svm;por_genotipo;EMB48;3;accuracy;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333
svm;por_genotipo;EMB48;3;macro avg;0.9341909945571499;0.9333333333333333;0.933300395256917;90.0
svm;por_genotipo;EMB48;3;weighted avg;0.9341909945571498;0.9333333333333333;0.933300395256917;90.0
svm;por_genotipo;EMB48;4;IRRIG;0.8113207547169812;0.9772727272727273;0.8865979381443299;44.0
svm;por_genotipo;EMB48;4;NIRRIG;0.9722222222222222;0.7777777777777778;0.8641975308641975;45.0
svm;por_genotipo;EMB48;4;accuracy;0.8764044943820225;0.8764044943820225;0.8764044943820225;0.8764044943820225
svm;por_genotipo;EMB48;4;macro avg;0.8917714884696017;0.8775252525252526;0.8753977345042636;89.0
svm;por_genotipo;EMB48;4;weighted avg;0.8926754292982829;0.8764044943820225;0.8752718895195438;89.0
svm;por_genotipo;EMB48;5;IRRIG;0.9772727272727273;0.9772727272727273;0.9772727272727273;44.0
svm;por_genotipo;EMB48;5;NIRRIG;0.9777777777777777;0.9777777777777777;0.9777777777777777;45.0
svm;por_genotipo;EMB48;5;accuracy;0.9775280898876404;0.9775280898876404;0.9775280898876404;0.9775280898876404
svm;por_genotipo;EMB48;5;macro avg;0.9775252525252525;0.9775252525252525;0.9775252525252525;89.0
svm;por_genotipo;EMB48;5;weighted avg;0.9775280898876404;0.9775280898876404;0.9775280898876404;89.0
