posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
181;1361;0.0;0.0;0.0
182;1331;0.0;0.0;0.0
183;1321;0.0;0.0;0.0
184;1301;0.0;0.0;0.0
185;1291;0.0;0.0;0.0
186;1281;0.0;0.0;0.0
187;1271;0.0;0.0;0.0
188;1261;0.0;0.0;0.0
189;1251;0.0;0.0;0.0
190;1241;0.0;0.0;0.0
191;1231;0.0;0.0;0.0
192;1221;0.0;0.0;0.0
193;1211;0.0;0.0;0.0
194;1201;0.0;0.0;0.0
195;1191;0.0;0.0;0.0
196;1181;0.0;0.0;0.0
197;1171;0.0;0.0;0.0
198;1161;0.0;0.0;0.0
199;1121;0.0;0.0;0.0
200;1111;0.0;0.0;0.0
201;1081;0.0;0.0;0.0
202;1071;0.0;0.0;0.0
203;1051;0.0;0.0;0.0
204;1041;0.0;0.0;0.0
205;1021;0.0;0.0;0.0
206;1011;0.0;0.0;0.0
207;2397;0.0;0.0;0.0
