fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;51;17;1.0;1.0;1.0;1.0
2;51;17;1.0;1.0;1.0;1.0
3;51;17;1.0;1.0;1.0;1.0
4;51;17;1.0;1.0;1.0;1.0
