fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.75;0.8;0.5;0.875
2;48;16;0.6875;0.7058823529411765;0.375;0.71875
3;48;16;0.625;0.625;0.25;0.703125
4;48;16;0.8125;0.8;0.625;0.8125
