n_componentes;balanced_accuracy_cv;desvio_cv
1;0.6875;0.2072890493972125
2;0.71875;0.22316963839196408
3;0.71875;0.22316963839196408
4;0.625;0.21650635094610965
5;0.625;0.21650635094610965
6;0.578125;0.10245997694221876
7;0.59375;0.10364452469860624
8;0.65625;0.2049199538844375
9;0.671875;0.20432338797846908
10;0.671875;0.20432338797846908
