dia;cra_observado;cra_predito_cv
24/02;62.101636520241165;60.54792874722058
24/02;64.63527239150505;55.47619871893788
24/02;53.74149659863946;58.07035463953788
24/02;66.21835443037975;63.06710099170501
24/02;50.55555555555556;46.13749533915549
24/02;50.747330960854086;53.49577594251121
24/02;46.87735139202408;46.5969387058006
24/02;33.93157599551318;50.679119876168855
24/02;60.56782334384858;60.81239853410942
24/02;62.2754491017964;56.89036333975303
24/02;71.65948275862068;63.75048237689598
24/02;57.11183496199783;61.164531157463706
24/02;52.17006200177148;44.96611762055659
24/02;43.6676798378926;50.31030478628705
24/02;45.64198687910027;49.13771532225037
24/02;44.06943105110896;45.2272387718823
24/02;63.04170073589535;59.7279710467902
24/02;66.5909090909091;61.56648209101424
24/02;49.076773566569486;69.3283489391673
24/02;65.99378881987577;65.99341007918451
24/02;60.01609010458567;50.189469344875775
24/02;55.88458618071373;51.30938727572407
24/02;45.67669172932331;48.16260970926443
24/02;57.68551236749118;51.360315035883495
02/03;91.75757575757578;84.10106572839251
02/03;86.87454677302394;86.3316013290126
02/03;86.87224669603523;90.99968590002467
02/03;62.64150943396225;64.15185772761085
02/03;72.58964143426294;63.8339453419374
02/03;65.47987616099073;68.88770590186145
02/03;61.27583108715184;67.5556514308232
02/03;91.1694510739857;91.9378190991264
02/03;93.43675417661098;85.38935091054037
02/03;93.48268839103868;97.49621527689942
02/03;87.30569948186528;89.9134694816487
02/03;71.91283292978208;74.77546228873473
02/03;66.66666666666669;69.66265864257969
02/03;68.75;67.22269258999715
02/03;70.23661270236614;67.85568328028405
02/03;94.17946645109134;95.52537695195883
02/03;91.7550058892815;80.24408692052718
02/03;86.68459986550101;96.34848568528108
02/03;88.1008668242711;76.02968157998943
02/03;60.93073593073595;70.81310533904013
02/03;66.94473409801876;64.9489481696502
02/03;72.02007528230865;72.98918653855712
02/03;58.94632206759442;62.76778207922624
03/03;87.35083532219572;91.35973470970916
03/03;91.365227537923;91.90569468902486
03/03;95.81239530988276;92.37979944406412
03/03;95.44259421560037;92.58105716383368
03/03;88.65698729582577;91.08456982354672
03/03;87.33333333333334;91.76507277287506
03/03;95.273631840796;91.63372318510032
03/03;91.80633147113592;90.42187334415476
03/03;90.08528784648188;95.25772132624049
03/03;92.47027741083224;91.92923040331334
03/03;96.05734767025088;93.19278444657571
03/03;88.69257950530034;92.3353210956037
03/03;88.29516539440205;91.6814470160394
03/03;93.61702127659572;90.57808225912363
03/03;94.52590420332352;91.36242451691136
03/03;87.96498905908095;91.5242332880302
03/03;92.82103134479271;96.03332144450366
03/03;94.03620873269436;92.69420633978478
03/03;94.90392648287386;93.63681418335656
03/03;94.28090832632464;90.92312491665662
03/03;93.10344827586208;92.27642524022178
03/03;92.52450980392156;91.16985899318124
03/03;94.49003516998827;90.37891296607776
03/03;92.65873015873018;92.34523116309218
