data_cra;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_cra
03/03;D10M;351;1.9376748478712664;1.6155440625632156;0.6034782608695652
03/03;D10M;361;1.8086698203132248;1.420205677023489;0.5652173913043478
03/03;D10M;609;1.7549020437389888;1.354573194841006;0.5304347826086956
03/03;D10M;631;1.7612407472696427;1.3524188192809965;0.5408695652173913
03/03;D10M;611;1.7550679567263812;1.3516247627095077;0.5356521739130434
03/03;D10M;589;1.7304915907532497;1.3515370182785056;0.537391304347826
03/03;D10M;623;1.7584379699550896;1.3499455066764654;0.5313043478260869
03/03;D10M;590;1.7298019269815748;1.348770945398543;0.537391304347826
03/03;D10M;640;1.7384222390399575;1.32702124151547;0.4878260869565217
03/03;D10M;695;1.7098024879418174;1.2899720862643778;0.4843478260869564
03/03;D10M;650;1.6996938328415667;1.2828375342656957;0.4713043478260869
03/03;D10M;371;1.7149502383373485;1.2823350470914587;0.568695652173913
03/03;D10M;698;1.555529912736328;1.264041369896889;0.3565217391304348
03/03;D10M;574;1.6001485003456202;1.2630516457224965;0.4817391304347825
03/03;D10M;661;1.679985766698457;1.2595542632807593;0.4660869565217391
03/03;D10M;520;1.6487874357377166;1.249463343647828;0.4782608695652173
03/03;D10M;517;1.661086370209467;1.2433965065149797;0.5078260869565216
03/03;D10M;389;1.6498308350530195;1.2174795956176592;0.5226086956521738
03/03;D10M;671;1.6413554106634172;1.2115601107132328;0.4617391304347825
03/03;D10M;401;1.638508498833413;1.2026371667089155;0.5321739130434783
03/03;D10M;410;1.6179914264309974;1.183744499282818;0.5026086956521739
03/03;D10M;568;1.4681093666330876;1.177159092275737;0.3869565217391304
03/03;D10M;509;1.6111621613102336;1.1770264690616246;0.4747826086956521
03/03;D10M;424;1.6108905483950675;1.176383488804461;0.5017391304347826
03/03;D10M;394;1.590292929125101;1.143228540402186;0.5295652173913042
03/03;D10M;430;1.5738127022760957;1.1327510782955967;0.4765217391304347
03/03;D10M;681;1.57170481420696;1.1308017115047253;0.4339130434782608
03/03;D10M;495;1.5531746887248064;1.1186512145992578;0.4391304347826086
03/03;D10M;481;1.552289061558747;1.1181777057894169;0.4426086956521738
03/03;D10M;441;1.552191495059532;1.1136768657071416;0.4660869565217391
03/03;D10M;532;1.393933511870076;1.112822675425626;0.357391304347826
03/03;D10M;450;1.5363976396247858;1.0968660889565234;0.4547826086956522
03/03;D10M;470;1.5328053240412365;1.0950268548619553;0.4547826086956522
03/03;D10M;462;1.5284251534869848;1.0901770041234315;0.4547826086956522
03/03;D10M;540;1.2677850535108808;1.033201008461501;0.2965217391304348
03/03;D10M;550;1.1933398477378745;0.9986495691570944;0.2817391304347826
03/03;D10M;891;1.0168591896101915;0.8720930863254374;-0.3052173913043478
03/03;D10M;908;1.020152869837884;0.8717220855370801;-0.3078260869565217
03/03;D10M;881;1.0196696825321157;0.8713416566259865;-0.3052173913043478
03/03;D10M;914;1.0234749364458031;0.8712129225534517;-0.3217391304347825
03/03;D10M;925;1.0239688108175773;0.8707893971993593;-0.3
03/03;D10M;871;1.0215682085702018;0.8703289256380343;-0.3052173913043478
03/03;D10M;936;1.0282752346076236;0.8700345570876703;-0.2869565217391304
03/03;D10M;941;1.0300958390328463;0.8696682923943966;-0.2869565217391304
03/03;D10M;861;1.02610377430012;0.8686374896649014;-0.3052173913043478
03/03;D10M;981;1.0511548451678687;0.868325831457206;-0.3034782608695651
03/03;D10M;951;1.038969718714532;0.8681074043467483;-0.2869565217391304
03/03;D10M;961;1.0424555624618357;0.8680507813428376;-0.2869565217391304
03/03;D10M;991;1.0546356467277511;0.8675794982002177;-0.3034782608695651
03/03;D10M;976;1.0509486203695255;0.8672075807593567;-0.3034782608695651
03/03;D10M;1221;1.014715037248774;0.8654608764215134;-0.2530434782608695
03/03;D10M;851;1.0351385467967107;0.8652327018383953;-0.3052173913043478
03/03;D10M;1213;1.019272044020371;0.8651260947641691;-0.2530434782608695
03/03;D10M;1237;1.0128963547830077;0.8646448655733922;-0.2452173913043478
03/03;D10M;1241;1.012775775786242;0.8642529614868192;-0.2452173913043478
03/03;D10M;1201;1.0247385292940725;0.8641028974940802;-0.2504347826086956
03/03;D10M;1191;1.0293979530485085;0.8629421296258258;-0.2504347826086956
03/03;D10M;1251;1.015365108043521;0.8627352852811664;-0.2452173913043478
