data_cra;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_cra
02/03;D09M;739;1.042817081826842;1.102672703244728;-0.8399209486166009
02/03;D09M;734;1.056295387430741;1.1021282427725614;-0.8547430830039526
02/03;D09M;749;1.0573445799418473;1.095992167318196;-0.8201581027667983
02/03;D09M;998;1.1183244487167072;1.095971323327246;-0.7845849802371542
02/03;D09M;969;1.1131804961477862;1.0957779424186584;-0.7895256916996048
02/03;D09M;988;1.1129583054737575;1.0956103868590628;-0.7895256916996048
02/03;D09M;978;1.1109386919086706;1.0952479748822357;-0.7895256916996048
02/03;D09M;963;1.1113632349517204;1.0948828821861594;-0.7895256916996048
02/03;D09M;948;1.1121771999189594;1.0933189778488257;-0.7845849802371542
02/03;D09M;944;1.1144691689186528;1.0928189592196478;-0.7845849802371542
02/03;D09M;928;1.1155595470919788;1.0923227783782232;-0.7697628458498025
02/03;D09M;918;1.1124649836672789;1.0915964271568093;-0.7697628458498025
02/03;D09M;908;1.1147092204294995;1.0915904110429424;-0.7697628458498025
02/03;D09M;891;1.11846940890496;1.091543551870219;-0.7737154150197629
02/03;D09M;898;1.1138781278905816;1.0911337930501794;-0.7697628458498025
02/03;D09M;878;1.116732547618109;1.0910560071285822;-0.7697628458498025
02/03;D09M;868;1.1159669945977044;1.0909512226355056;-0.7697628458498025
02/03;D09M;759;1.0819530293318869;1.090864593968509;-0.8112648221343874
02/03;D09M;858;1.1122727333180908;1.09005399238838;-0.7697628458498025
02/03;D09M;848;1.1130697948701815;1.08995272224534;-0.7697628458498025
02/03;D09M;838;1.107699588438448;1.0888673982095234;-0.7697628458498025
02/03;D09M;768;1.0948302107054055;1.088767693811912;-0.7915019762845852
02/03;D09M;788;1.104463224182628;1.0880004414178082;-0.7776679841897233
02/03;D09M;778;1.1009350585160624;1.087984494148352;-0.7776679841897233
02/03;D09M;828;1.104775448379983;1.08779871274469;-0.7776679841897233
02/03;D09M;798;1.1030128242336092;1.08725933339381;-0.7776679841897233
02/03;D09M;818;1.1018076766739675;1.0870888429235523;-0.7776679841897233
02/03;D09M;808;1.1010134991887814;1.0868198298922822;-0.7776679841897233
02/03;D09M;727;1.1134682100304605;1.082926634444548;-0.8448616600790515
02/03;D09M;1528;1.006504354201889;1.0712496625911705;-0.825098814229249
02/03;D09M;1518;1.011542604182675;1.0679289971401766;-0.825098814229249
02/03;D09M;1508;1.0162470027792854;1.063256482454099;-0.8112648221343874
02/03;D09M;1507;1.016827473662206;1.062748793489624;-0.8112648221343874
02/03;D09M;1494;1.0174413242086968;1.0532710115881028;-0.8013833992094862
02/03;D09M;1008;1.009872484193482;1.041527394783025;-0.7766798418972332
02/03;D09M;1020;1.00657230502261;1.0406561655557076;-0.7766798418972332
02/03;D09M;1030;1.0054311941778735;1.0395690411989849;-0.7766798418972332
02/03;D09M;1040;1.0043604368203265;1.038820138184542;-0.7766798418972332
02/03;D09M;1048;1.0040354338479345;1.037528629210983;-0.7717391304347826
02/03;D09M;1478;1.006781051622156;1.0362456947628231;-0.7944664031620554
02/03;D09M;1058;1.004995354675529;1.035379097818848;-0.7717391304347826
02/03;D09M;1476;1.004608295175334;1.0338564560127073;-0.7944664031620554
02/03;D09M;1068;1.0096382008711084;1.0315025352418443;-0.7717391304347826
02/03;D09M;1118;1.011011084368067;1.0305592737384324;-0.7677865612648223
02/03;D09M;1078;1.0146913003216311;1.0274014704947012;-0.7717391304347826
