bloco;genotipo;condicao;CRA (24/02);predito_cv;residuo_cv
B1;BR16;IRRIG;62.101636520241165;60.54792874722058;1.5537077730205837
B2;BR16;IRRIG;64.63527239150505;55.47619871893788;9.159073672567175
B3;BR16;IRRIG;53.74149659863946;58.070354639537875;-4.328858040898417
B4;BR16;IRRIG;66.21835443037975;63.06710099170501;3.151253438674736
B1;BR16;NIRRIG;50.55555555555556;46.13749533915549;4.418060216400065
B2;BR16;NIRRIG;50.747330960854086;53.49577594251121;-2.748444981657123
B3;BR16;NIRRIG;46.87735139202408;46.5969387058006;0.28041268622347815
B4;BR16;NIRRIG;33.93157599551318;50.679119876168855;-16.747543880655677
B1;EMB48;IRRIG;60.56782334384858;60.81239853410942;-0.2445751902608393
B2;EMB48;IRRIG;62.2754491017964;56.89036333975303;5.385085762043367
B3;EMB48;IRRIG;71.65948275862068;63.75048237689598;7.909000381724702
B4;EMB48;IRRIG;57.11183496199783;61.164531157463706;-4.052696195465877
B1;EMB48;NIRRIG;52.17006200177148;44.96611762055659;7.203944381214889
B2;EMB48;NIRRIG;43.6676798378926;50.31030478628705;-6.642624948394449
B3;EMB48;NIRRIG;45.64198687910027;49.13771532225037;-3.4957284431500995
B4;EMB48;NIRRIG;44.069431051108964;45.2272387718823;-1.1578077207733344
B1;CD202;IRRIG;63.04170073589535;59.7279710467902;3.313729689105145
B2;CD202;IRRIG;66.5909090909091;61.566482091014244;5.02442699989485
B3;CD202;IRRIG;49.076773566569486;69.3283489391673;-20.251575372597813
B4;CD202;IRRIG;65.99378881987577;65.99341007918451;0.0003787406912607594
B1;CD202;NIRRIG;60.01609010458567;50.189469344875775;9.826620759709897
B2;CD202;NIRRIG;55.88458618071373;51.30938727572407;4.575198904989662
B3;CD202;NIRRIG;45.67669172932331;48.16260970926443;-2.485917979941121
B4;CD202;NIRRIG;57.68551236749118;51.360315035883495;6.325197331607683
