bloco;genotipo;condicao;CRA (03/03);predito_cv;residuo_cv
B1;BR16;IRRIG;87.35083532219572;91.35973470970916;-4.008899387513438
B2;BR16;IRRIG;91.365227537923;91.90569468902486;-0.5404671511018506
B3;BR16;IRRIG;95.81239530988275;92.37979944406413;3.4325958658186124
B4;BR16;IRRIG;95.44259421560035;92.58105716383369;2.8615370517666605
B1;BR16;NIRRIG;88.65698729582577;91.08456982354673;-2.4275825277209577
B2;BR16;NIRRIG;87.33333333333334;91.76507277287506;-4.431739439541715
B3;BR16;NIRRIG;95.27363184079601;91.63372318510031;3.639908655695706
B4;BR16;NIRRIG;91.80633147113593;90.42187334415475;1.3844581269811869
B1;EMB48;IRRIG;90.08528784648188;95.25772132624047;-5.172433479758595
B2;EMB48;IRRIG;92.47027741083224;91.92923040331334;0.5410470075188982
B3;EMB48;IRRIG;96.05734767025088;93.19278444657571;2.8645632236751624
B4;EMB48;IRRIG;88.69257950530034;92.3353210956037;-3.642741590303359
B1;EMB48;NIRRIG;88.29516539440205;91.6814470160394;-3.3862816216373517
B2;EMB48;NIRRIG;93.61702127659572;90.57808225912363;3.0389390174720887
B3;EMB48;NIRRIG;94.52590420332353;91.36242451691135;3.163479686412188
B4;EMB48;NIRRIG;87.96498905908095;91.5242332880302;-3.559244228949254
B1;CD202;IRRIG;92.82103134479273;96.03332144450366;-3.212290099710927
B2;CD202;IRRIG;94.03620873269435;92.69420633978478;1.3420023929095635
B3;CD202;IRRIG;94.90392648287386;93.63681418335656;1.2671122995172936
B4;CD202;IRRIG;94.28090832632464;90.92312491665662;3.3577834096680164
B1;CD202;NIRRIG;93.10344827586208;92.27642524022178;0.8270230356402948
B2;CD202;NIRRIG;92.52450980392157;91.16985899318124;1.3546508107403383
B3;CD202;NIRRIG;94.49003516998829;90.37891296607775;4.11112220391054
B4;CD202;NIRRIG;92.65873015873018;92.34523116309218;0.31349899563799966
