n_componentes;rmse_cv_bloco;r2_cv_bloco
1;3.0174437387161213;-0.1642436299561385
2;2.9822551475796293;-0.1372477902050726
3;3.301133772144607;-0.39345117190061907
4;3.2468693624911786;-0.34801628313350874
5;3.2575267782690767;-0.3568801740051313
6;3.2508382672010696;-0.35131387076742726
