bloco;genotipo;condicao;CRA (02/03);predito_cv;residuo_cv
B2;BR16;IRRIG;91.75757575757578;84.10106572839251;7.656510029183266
B3;BR16;IRRIG;86.87454677302394;86.3316013290126;0.5429454440113375
B4;BR16;IRRIG;86.87224669603523;90.99968590002467;-4.127439203989439
B1;BR16;NIRRIG;62.64150943396225;64.15185772761085;-1.5103482936485975
B2;BR16;NIRRIG;72.58964143426294;63.8339453419374;8.755696092325543
B3;BR16;NIRRIG;65.47987616099073;68.88770590186145;-3.4078297408707243
B4;BR16;NIRRIG;61.275831087151836;67.5556514308232;-6.279820343671368
B1;EMB48;IRRIG;91.1694510739857;91.93781909912641;-0.7683680251407168
B2;EMB48;IRRIG;93.43675417661098;85.38935091054037;8.047403266070603
B3;EMB48;IRRIG;93.48268839103869;97.49621527689942;-4.013526885860728
B4;EMB48;IRRIG;87.30569948186528;89.9134694816487;-2.6077699997834287
B1;EMB48;NIRRIG;71.91283292978208;74.77546228873473;-2.8626293589526455
B2;EMB48;NIRRIG;66.66666666666669;69.66265864257969;-2.9959919759130003
B3;EMB48;NIRRIG;68.75;67.22269258999715;1.527307410002848
B4;EMB48;NIRRIG;70.23661270236614;67.85568328028405;2.3809294220820902
B1;CD202;IRRIG;94.17946645109134;95.52537695195885;-1.3459105008675039
B2;CD202;IRRIG;91.7550058892815;80.24408692052718;11.510918968754325
B3;CD202;IRRIG;86.68459986550101;96.34848568528108;-9.663885819780063
B4;CD202;IRRIG;88.1008668242711;76.02968157998943;12.071185244281665
B1;CD202;NIRRIG;60.93073593073595;70.81310533904013;-9.882369408304186
B2;CD202;NIRRIG;66.94473409801876;64.9489481696502;1.9957859283685622
B3;CD202;NIRRIG;72.02007528230865;72.98918653855712;-0.9691112562484676
B4;CD202;NIRRIG;58.94632206759442;62.76778207922624;-3.821460011631814
